City,Venue,Venue Latitude,Venue Longitude,Venue Category
Gent,Taco Santo,51.050675257539005,3.7193843722343445,Taco Place
Gent,NOIR,51.05188394264892,3.719567887849566,Tattoo Parlor
Gent,Romain Roquette,51.048839,3.721417,Salad Place
Gent,De Frietketel,51.05057914833947,3.711361885070801,Friterie
Gent,Moor & Moor,51.052121929814874,3.719920814037323,Coffee Shop
Gent,PLUS+,51.05128563060697,3.7201273441314697,Salad Place
Gent,L'Apero d'Oc,51.050938,3.719899,Gourmet Shop
Gent,Balls & Glory,51.05229896702483,3.720213174819946,Belgian Restaurant
Gent,Nespresso Boutique,51.050369,3.721514,Coffee Shop
Gent,Paard van Troje,51.05001766429281,3.7223803997039795,Bookstore
Gent,Pasta la Vista,51.047687033687104,3.721751796402544,Italian Restaurant
Gent,Le Botaniste,51.052138,3.721139,Vegetarian / Vegan Restaurant
Gent,ONA,51.04731300313119,3.7219633162021633,Wine Bar
Gent,Bodydesign,51.04772275933112,3.721505999565124,Tattoo Parlor
Gent,Revue,51.04900765032898,3.7214215099811554,Bistro
Gent,Le Goût avant Tout,51.04904408016024,3.7216931813230185,Fondue Restaurant
Gent,Javana,51.0521371044594,3.7213236093521114,Coffee Shop
Gent,Oats Day Long,51.047714328170116,3.721758127212524,Breakfast Spot
Gent,Homblé,51.050803402828166,3.71187686920166,Comfort Food Restaurant
Gent,Opera Gent,51.04962060150049,3.722160971337731,Opera House
Gent,Pane & Vino,51.04856830151433,3.721481854648451,Italian Restaurant
Gent,Le Homard Rouge,51.04918389759478,3.7217213803702074,Seafood Restaurant
Gent,Café Labath,51.05433737528301,3.716747760772705,Coffee Shop
Gent,Think Twice,51.04700441890876,3.721783608198166,Thrift / Vintage Store
Gent,Hostel Uppelink,51.05395296768736,3.719891309738159,Hostel
Gent,Le Perroquet,51.05072415512539,3.711023926734924,Bistro
Gent,& Other Stories,51.05349234350039,3.7221376597881317,Boutique
Gent,Fitness Stadium,51.051073,3.709016,Gym / Fitness Center
Gent,STEK,51.04663067568329,3.722074029843832,Breakfast Spot
Gent,Pillows Grand Hotel Reylof,51.05474362,3.71508498,Hotel
Gent,Graslei,51.05473348800937,3.7205676702796717,Plaza
Gent,Greenway,51.04761146788231,3.7215448915958405,Vegetarian / Vegan Restaurant
Gent,De Walrus,51.0501220707613,3.7098189630193468,Bar
Gent,Kouter,51.050132,3.72384,Plaza
Gent,Verloren Kost,51.04623597940396,3.7219847738742824,Sandwich Place
Gent,Luv l’Oeuf,51.04782393314344,3.7214818596839905,Breakfast Spot
Gent,Stadium Coupure,51.05101813054551,3.7090159904115128,Gym / Fitness Center
Gent,Handelsbeurs,51.04964602513412,3.7232092022895813,Concert Hall
Gent,Sint-Michielsbrug,51.05386360932424,3.7205404043197627,Bridge
Gent,Korenlei,51.054689,3.720149,Plaza
Gent,Cru,51.05053110730663,3.7249285212550776,Gourmet Shop
Gent,Moochie Frozen Yogurt,51.054193311026054,3.7226259623383537,Frozen Yogurt Shop
Gent,A Food Affair,51.054847428438975,3.713607720031774,Asian Restaurant
Gent,Hunkemöller,51.053237,3.722422,Lingerie Store
Gent,Brasserie HA',51.04971009924692,3.7230724096298213,Brasserie
Gent,Soup'r,51.05336117607224,3.7232910096645355,Soup Place
Gent,Korenmarkt,51.053782570472706,3.7223973093585863,Plaza
Gent,Worlds' End Comics & Games bar,51.049317,3.725572,Comic Shop
Gent,Take Five Espressobar,51.05229896702481,3.724204301834106,Coffee Shop
Gent,Ghent Marriott Hotel,51.05511119780914,3.719812710774022,Hotel
Gent,Pakhuis,51.0532751886271,3.7215033173561096,Bistro
Gent,Hot Yoga,51.047107815185214,3.722469670126165,Yoga Studio
Gent,Vishandel De Vis,51.05230908341638,3.7237697839736934,Fish Market
Gent,Cuit by Cru,51.05053670799075,3.7248983889501903,Bistro
Gent,BEO Versmarkt,51.053251584202485,3.72361421585083,Organic Grocery
Gent,Plan B,51.046474,3.721108,Pub
Gent,Sphinx Cinema,51.05396200533116,3.7217224112412155,Indie Movie Theater
Gent,Optiek Matthijs,51.05321294029603,3.724571464183585,Optical Shop
Gent,Gillis,51.05455790899685,3.7148201493742365,Belgian Restaurant
Gent,West Site,51.046708830414026,3.7221562899572818,Board Shop
Gent,The Other Shop,51.0528233304091,3.724555671215058,Bookstore
Gent,The Cobbler,51.05403934246974,3.7209602871616334,Hotel Bar
Gent,Mòris,51.05436,3.7225273,Bar
Gent,Kin Khao,51.05474709559198,3.7229533660782272,Thai Restaurant
Gent,Missy Sippy Blues & Roots Club,51.05420619106594,3.7226390354138856,Pub
Gent,Potatolicious,51.04629618505087,3.7218064069747925,Vegetarian / Vegan Restaurant
Gent,Huset,51.05487733977299,3.7133150008776696,Coffee Shop
Gent,I.Ma.Gi.N. Jewels,51.050135624549625,3.7264248415776304,Jewelry Store
Gent,Galleria Laurenzo Men,51.052292222762546,3.7253925204277034,Men's Store
Gent,Giri,51.056170776489886,3.72019842840479,Breakfast Spot
Gent,Le Pain Quotidien,51.0544435926086,3.721522092819214,Bakery
Gent,PIET moodshop,51.047905,3.727143,Gift Shop
Gent,Limonada,51.05312732408609,3.7241855576537137,Cocktail Bar
Gent,Champagnekelder,51.05425138965051,3.7231568992137904,Wine Bar
Gent,OR Coffee,51.047276,3.727036,Coffee Shop
Gent,Mosquito Coast,51.055312374435374,3.7234658388261543,Cocktail Bar
Gent,Oak,51.055996976428695,3.7109929290372796,Belgian Restaurant
Gent,Starbucks,51.05483927750884,3.722051101180085,Coffee Shop
Gent,LUSH,51.05597444382808,3.7226901948451996,Cosmetics Shop
Gent,Vooruit Terras,51.04741965971779,3.727368124908917,Bar
Gent,Sint-Baafsplein,51.053396599509625,3.72564292280405,Plaza
Gent,Amadeus 2,51.05423115771377,3.724086284637451,BBQ Joint
Gent,Hot Club Gent,51.05629645564862,3.7225198745727535,Jazz Club
Gent,Pain Perdu,51.04903715856181,3.727094382047653,Breakfast Spot
Gent,Het Mekka van de Kaas,51.05127868578052,3.725661219151427,Cheese Shop
Gent,STAMcafé by Pain Perdu,51.04376552391814,3.717311436475683,Bar
Gent,Otomat,51.056328488115646,3.721597194671631,Pizza Place
Gent,Stadshalpark,51.05386541456209,3.72396091215492,Park
Gent,Cremerie Gerard,51.05218768657186,3.727559745311737,Ice Cream Shop
Gent,Het Spijker,51.055556330897545,3.7212538719177246,Pub
Gent,Au Bon Vivant,51.05583899104306,3.722245277107624,Wine Bar
Gent,De Alchemist,51.05663785316981,3.720632940530777,Bar
Gent,Music Mania,51.047909930710205,3.727447092533111,Record Shop
Gent,Basic-Fit,51.047316550397944,3.7267699425479575,Gym / Fitness Center
Gent,Scotch & Soda,51.04923861617427,3.7269995407314127,Clothing Store
Charleroi,Eden,50.41083,4.441291,Concert Hall
Charleroi,Nirvana,50.410285847743964,4.441964490876353,Cocktail Bar
Charleroi,Le Pain Quotidien,50.40867322813965,4.441362250249767,Bakery
Charleroi,Traiteur Imperial,50.41345225391608,4.4438563188560405,Restaurant
Charleroi,Librairie Molière,50.407723,4.443037,Bookstore
Charleroi,Le Léoni's,50.40906777068175,4.440757901750038,Italian Restaurant
Charleroi,L'impasse-Temps,50.4092,4.43996,Bar
Charleroi,Manolo Bar,50.40867627384804,4.442914359021582,Bar
Charleroi,Spawn,50.41228147365907,4.440348744392395,Bar
Charleroi,la bouche des goûts,50.411567245930605,4.445780589712168,Restaurant
Charleroi,Wonderfriends,50.40829018541241,4.443855214990852,Gift Shop
Charleroi,Quai10,50.405995014885555,4.440987545673793,Indie Movie Theater
Charleroi,L’Atelier de La Manufacture Urbaine,50.40616480012765,4.442214189251108,Brewery
Charleroi,Brasserie de l'Eden,50.410801333579364,4.440993404712766,Restaurant
Charleroi,Palais des Beaux-Arts,50.413053,4.444164,Performing Arts Venue
Charleroi,Comédie Centrale,50.410053560500614,4.437015341460158,Comedy Club
Charleroi,la Palmeraie,50.40982551201944,4.437568520671286,Restaurant
Charleroi,The Irish Times Pub,50.407409855760605,4.444089318665366,Irish Pub
Charleroi,Galeria Inno,50.408353597839515,4.442761683849569,Department Store
Charleroi,Brasserie de la Digue,50.409425789617366,4.439042975310251,Brewery
Charleroi,Emozione Latina,50.40903878652007,4.441118908856353,Italian Restaurant
Charleroi,Quartier d'été,50.409771664665755,4.447241406388704,Beach Bar
Charleroi,Le Trou Normand,50.40810908989287,4.440517485398673,French Restaurant
Charleroi,Athena,50.40569880211303,4.446798055357669,Greek Restaurant
Charleroi,Royal Nord,50.41608252843969,4.44926132261631,Sports Bar
Charleroi,50's American Diner,50.41054304653973,4.441682454997643,Diner
Charleroi,BPS22,50.41641133819686,4.445194746570316,Art Museum
Charleroi,Les Deux Fenêtres,50.41045655859046,4.445087705254737,Italian Restaurant
Charleroi,ZARA,50.40814520738266,4.441775908593706,Clothing Store
Charleroi,Lo Scugnizzo,50.41818506539915,4.451348186291878,Pizza Place
Charleroi,EXKi,50.40836547265831,4.441491742912119,Vegetarian / Vegan Restaurant
Charleroi,Robert,50.410919737599606,4.437102438725295,Friterie
Charleroi,Rive Gauche,50.407402502248125,4.441209916139484,Shopping Mall
Charleroi,Place de la Digue,50.409619372182256,4.437735224213878,Plaza
Charleroi,Mots à Mo,50.40801989820584,4.449098806534237,Restaurant
Charleroi,Snack grec Ikaros,50.41331296653584,4.445277182550529,Greek Restaurant
Charleroi,Le Grand Ikaros,50.41071,4.4376597,Greek Restaurant
Charleroi,Les Templiers,50.412788238936564,4.443620718572308,Brewery
Charleroi,Théâtre de l'Ancre,50.40654527779777,4.448901281513677,Theater
Charleroi,Alexandrin,50.421099211500945,4.449010304233567,Greek Restaurant
Charleroi,Monty Burger Bar,50.40790842679837,4.445517188803454,Burger Joint
Charleroi,Primark,50.4078422652246,4.441681980120052,Clothing Store
Charleroi,An Nam,50.406960744927666,4.442475239969997,Asian Restaurant
Charleroi,La Table de la Manufacture,50.40669,4.439246,French Restaurant
Charleroi,Nautilus,50.406960853021026,4.448166901376231,Lounge
Charleroi,Le Bistro,50.40881493494616,4.442236225908717,Brewery
Charleroi,Brasserie du Quai10,50.40602485283323,4.441004183022261,Brasserie
Charleroi,O'TACOS,50.406392,4.439292,Taco Place
Charleroi,Harpers,50.40741022091395,4.444107881757536,Lounge
Charleroi,Chez Duche,50.41448478598093,4.447334017225103,Belgian Restaurant
Charleroi,La Bon' Heure,50.406899412844396,4.43816180535708,Italian Restaurant
Charleroi,André Van Hove,50.408691,4.44271,Café
Charleroi,Papilles et pupilles,50.40704763783996,4.442268917197653,Bistro
Charleroi,Quai10 / Côté Parc,50.40790973174735,4.446386056969493,Movie Theater
Charleroi,Le Luxembourg,50.408341822538425,4.447832541407726,Gastropub
Charleroi,Shanghai,50.408895120708216,4.441851242058082,Chinese Restaurant
Charleroi,ZARA,50.40954356290099,4.442459906077286,Clothing Store
Charleroi,Asia,50.40772392391916,4.4400153200451316,Chinese Restaurant
Charleroi,Charleroi Danses,50.41098165403802,4.452834932138879,Dance Studio
Charleroi,Théâtre La Ruche,50.39991449013062,4.4471034123839415,Theater
Charleroi,Café Leffe,50.40848483602875,4.441017505400705,Bar
Charleroi,O2K,50.40465113630986,4.438592131035886,Coffee Shop
Charleroi,Ville2,50.41767901347128,4.457745552062988,Shopping Mall
Charleroi,Fit For Fun,50.39995420638352,4.448750615243479,Gym
Charleroi,Le Vecteur,50.40673442649484,4.443924562822442,Concert Hall
Charleroi,Switch,50.417319,4.456837,Electronics Store
Charleroi,La Maison des 8 Heures,50.41142669151913,4.4444908021263965,Brewery
Charleroi,Parc Reine Astrid,50.40964453066799,4.447857804105427,Park
Charleroi,Chez Lolotte,50.412054,4.451888,Sandwich Place
Charleroi,Häagen-Dazs,50.407143,4.441104,Ice Cream Shop
Charleroi,Michelangelo,50.41051642927734,4.442167294295099,Italian Restaurant
Charleroi,Delhaize,50.39793907591713,4.453025006347128,Supermarket
Charleroi,Fontaine Beauvois,50.42537227548954,4.43971631956205,Furniture / Home Store
Charleroi,Fnac,50.418,4.458728,Electronics Store
Charleroi,Action,50.40588775409881,4.449994924229627,Discount Store
Charleroi,Action,50.419945,4.439885,Discount Store
Charleroi,McDonald's,50.397481513692654,4.453757378827952,Fast Food Restaurant
Charleroi,Alto café,50.40470242843332,4.438376980951548,Coffee Shop
Charleroi,H&M,50.406832689560375,4.440720879938453,Clothing Store
Charleroi,Patinoire de Charleroi,50.40915750548622,4.456256886843714,Skating Rink
Charleroi,Spiroudome,50.423987634059436,4.445782279965155,Basketball Stadium
Charleroi,Gelateria Amarena,50.418316872567246,4.4586268546457335,Ice Cream Shop
Charleroi,Domino's Pizza,50.405026,4.438488,Pizza Place
Charleroi,Il Festino,50.40150047533777,4.427755126240803,Italian Restaurant
Charleroi,Munchy's bar,50.39603749832651,4.45626551458795,Burger Joint
Charleroi,La Sucrière,50.40701198003607,4.442438837799865,Cocktail Bar
Charleroi,Burger King,50.40729122616673,4.441169487260355,Fast Food Restaurant
Charleroi,Bowling Flashbowl,50.40462437599956,4.45118869399289,Bowling Alley
Charleroi,Abelsys,50.41798915893661,4.457090775228211,Electronics Store
Charleroi,Taiyiyou,50.397562133353844,4.454385193863769,Japanese Restaurant
Charleroi,McDonald's,50.41804399712853,4.4529932126458736,Fast Food Restaurant
