ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde
37,Turnhout,44.664,310,"56,06",797,"97,3",Antwerpen,51.3233812,4.948461,"['51.2624027', '51.3954588', '4.8887471', '4.984881']",-,Turnhout,-,01.01.0001,31.12.9999
39,Dilbeek,42.847,637,"41,18",1.041,"119,8",Vlaams-Brabant,50.84415525,4.26567486726073,"['50.8198943', '50.868461', '4.2275562', '4.2898414']",-,Dilbeek,-,01.01.0001,31.12.9999
40,Heist-op-den-Berg,42.681,352,"86,46",494,"108,0",Antwerpen,51.06251575,4.71943107216415,"['51.0288097', '51.0962777', '4.6768702', '4.806114']",-,Heist-op-den-Berg,-,01.01.0001,31.12.9999
41,Sint-Pieters-Woluwe,41.824,3.173,"8,85",4.725,"112,2",Brussel,50.8370253,4.4274636,"['50.8184213', '50.8489441', '4.4042447', '4.476725']",Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,-,01.01.0001,31.12.9999
42,Evere,41.763,3.033,"5,02",8.322,"74,8",Brussel,50.8720096,4.4034182,"['50.8523647', '50.8859345', '4.3877216', '4.4266432']",Evere,Evere,-,01.01.0001,31.12.9999
43,Lokeren,41.690,194,"67,50",618,"102,7",Oost-Vlaanderen,51.1042159,3.9911114,"['51.0712889', '51.1646724', '3.896651', '4.0339723']",-,Lokeren,-,01.01.0001,31.12.9999
44,Sint-Truiden,40.590,227,"106,90",380,"103,8",Limburg,50.82694775,5.2034249116034,"['50.776418', '50.8773247', '5.1497098', '5.2448766']",Saint-Trond,Sint-Truiden,Sint-Truiden,01.01.0001,31.12.9999
45,Geel,40.353,394,"109,85",367,"108,9",Antwerpen,51.1610826,4.9903187,"['51.0892573', '51.242632', '4.8938153', '5.077703']",-,Geel,-,01.01.0001,31.12.9999
46,Eigenbrakel,40.008,521,"52,12",768,"116,8",Waals-Brabant,50.6828722,4.3692706,"['50.6259387', '50.7341002', '4.3004066', '4.4119959']",Braine-l'Alleud,Eigenbrakel,-,01.01.0001,31.12.9999
47,Herstal,39.989,375,"23,54",1.699,"80,2",Luik,50.6650412,5.629981,"['50.6546974', '50.702464', '5.5553099', '5.6570477']",Herstal,-,-,01.01.0001,31.12.9999
48,Halle,39.540,385,"44,40",890,"107,0",Vlaams-Brabant,50.7360524,4.2374349,"['50.6894114', '50.7785526', '4.1720079', '4.3125783']",Hal,Halle,Halle,01.01.0001,31.12.9999
49,Ninove,38.911,203,"72,57",536,"106,0",Oost-Vlaanderen,50.8353611,4.0242373,"['50.770473', '50.8717818', '3.9180599', '4.0754609']",-,Ninove,-,01.01.0001,31.12.9999
50,Maasmechelen,38.516,778,"76,28",505,"85,1",Limburg,50.9635024,5.696445,"['50.9103715', '51.0122743', '5.5951688', '5.767673']",-,Maasmechelen,-,02.01.1971,31.12.9999
51,Waregem,38.266,336,"44,34",863,"106,9",West-Vlaanderen,50.8868095,3.4323287,"['50.8450262', '50.9113908', '3.3204798', '3.476254']",-,Waregem,-,01.01.0001,31.12.9999
52,Brasschaat,37.946,1.354,"38,49",986,"125,7",Antwerpen,51.2930933,4.489307,"['51.2686423', '51.3508798', '4.4402507', '4.5587253']",-,Brasschaat,-,01.01.0001,31.12.9999
53,Grimbergen,37.542,549,"38,61",972,"118,9",Vlaams-Brabant,50.932458,4.3717863,"['50.9009406', '50.9906614', '4.3183434', '4.4263998']",-,Grimbergen,-,01.01.0001,31.12.9999
54,Mol,36.825,705,"114,26",322,"105,7",Antwerpen,51.1840421,5.1155267,"['51.1534761', '51.3226069', '5.0354139', '5.2421927']",-,Mol,-,01.01.0001,31.12.9999
55,Lier,36.242,229,"49,70",729,"109,3",Antwerpen,51.131069,4.5696516,"['51.0726727', '51.1657808', '4.5058463', '4.6430566']",Lierre,Lier,Lier,01.01.0001,31.12.9999
56,Châtelet,35.903,487,"27,03",1.328,"74,7",Henegouwen,50.4046075,4.5243511,"['50.3680688', '50.4437718', '4.4836697', '4.562851']",Châtelet,-,-,01.01.0001,31.12.9999
57,Evergem,35.447,198,"75,04",472,"111,5",Oost-Vlaanderen,51.11854595,3.70482093944223,"['51.087005', '51.1502786', '3.6473245', '3.7773899']",-,Evergem,-,01.01.0001,31.12.9999
58,Tienen,34.975,227,"71,77",487,"108,4",Vlaams-Brabant,50.80843175,4.94642921342942,"['50.7897443', '50.8268973', '4.9037967', '4.9823842']",Tirlemont,Tienen,Tienen,01.01.0001,31.12.9999
59,Ieper,34.845,116,"130,61",267,"100,3",West-Vlaanderen,50.85169675,2.8914736832759,"['50.8283082', '50.8749313', '2.8583458', '2.952383']",Ypres,Ieper,Ieper,01.01.0001,31.12.9999
60,Schoten,34.517,1.880,"29,55",1.168,"118,0",Antwerpen,51.2516344,4.4980446,"['51.2355561', '51.3041579', '4.4548997', '4.5529752']",-,Schoten,-,01.01.0001,31.12.9999
61,Waver,34.396,422,"41,80",823,"114,6",Waals-Brabant,50.7162425,4.60845,"['50.6826986', '50.7637583', '4.5297035', '4.6467709']",Wavre,Waver,-,01.01.0001,31.12.9999
62,Zaventem,34.368,875,"27,62",1.244,"103,4",Vlaams-Brabant,50.8806207,4.4730008,"['50.834319', '50.9024643', '4.4209813', '4.5363889']",-,Zaventem,-,01.01.0001,31.12.9999
63,Sint-Pieters-Leeuw,34.228,531,"40,38",848,"101,1",Vlaams-Brabant,50.78118355,4.24521861730643,"['50.7495439', '50.8129698', '4.2087627', '4.3010925']",-,Sint-Pieters-Leeuw,-,01.01.0001,31.12.9999
64,Lommel,34.079,1.371,"102,37",333,"99,0",Limburg,51.2305657,5.3076895,"['51.15755', '51.2757644', '5.214653', '5.4174115']",-,Lommel,-,01.01.0001,31.12.9999
65,Oudergem,34.013,726,"9,03",3.765,"103,5",Brussel,50.8172355,4.4268982,"['50.7897371', '50.826891', '4.3959299', '4.482277']",Auderghem,Oudergem,-,01.01.0001,31.12.9999
66,Heusden-Zolder,33.708,1.029,"53,23",633,"95,6",Limburg,51.0233485,5.2750485,"['50.9751713', '51.0725373', '5.2239722', '5.35685']",-,Heusden-Zolder,-,01.01.1977,31.12.9999
67,Binche,33.473,285,"60,66",552,"88,2",Henegouwen,50.4103004,4.165163,"['50.34925', '50.4469127', '4.0559717', '4.2524959']",Binche,-,-,01.01.2019,31.12.9999
67,Binche,33.473,285,"60,66",552,"88,2",Henegouwen,50.4103004,4.165163,"['50.34925', '50.4469127', '4.0559717', '4.2524959']",Binche,-,-,01.01.0001,31.12.2018
68,Geraardsbergen,33.439,145,"79,71",419,"105,1",Oost-Vlaanderen,50.7715779,3.8827287,"['50.7275691', '50.836933', '3.8036763', '4.003831']",Grammont,Geraardsbergen,Geraardsbergen,01.01.0001,31.12.9999
69,Menen,33.385,268,"33,07",1.009,"92,8",West-Vlaanderen,50.7969879,3.1156565,"['50.7552822', '50.8321795', '3.0805825', '3.2209985']",Menin,Menen,Menen,01.01.0001,31.12.9999
70,Asse,33.158,389,"49,64",668,"109,8",Vlaams-Brabant,50.913594,4.18043750728449,"['50.884526', '50.9426473', '4.1389758', '4.2425321']",-,Asse,-,01.01.0001,31.12.9999
71,Knokke-Heist,33.126,813,"56,44",587,"137,7",West-Vlaanderen,51.3433866,3.2884738,"['51.2961291', '51.3722842', '3.218315', '3.3853401']",-,Knokke-Heist,-,01.01.0001,31.12.9999
72,Pelt,32.902,967,"83,62",393,,Limburg,51.2197672,5.4299496,"['51.1642606', '51.2763994', '5.3201395', '5.5290541']",,Pelt,,01.01.2019,31.12.9999
73,Bilzen,32.328,346,"75,90",426,"100,4",Limburg,50.8707787,5.5181089,"['50.8163528', '50.9226424', '5.4405602', '5.6250127']",-,Bilzen,-,01.01.0001,31.12.9999
74,Ottignies-Louvain-la-Neuve,31.443,939,"32,96",954,"105,9",Waals-Brabant,50.6654216,4.5674107,"['50.6491927', '50.6964651', '4.4918779', '4.6483381']",Ottignies-Louvain-la-Neuve,-,-,02.01.1977,31.12.9999
75,Wevelgem,31.406,274,"38,76",810,"102,4",West-Vlaanderen,50.8121065,3.18644500626665,"['50.7939202', '50.8302164', '3.1434593', '3.2211547']",-,Wevelgem,-,01.01.0001,31.12.9999
76,Oudenaarde,31.393,148,"68,06",461,"110,8",Oost-Vlaanderen,50.8475306,3.6073048968342,"['50.8364012', '50.8585574', '3.5981619', '3.6254132']",Audenarde,Oudenaarde,Oudenaarde,01.01.0001,31.12.9999
77,Courcelles,31.299,299,"44,24",708,"83,1",Henegouwen,50.4574699,4.376008,"['50.4275986', '50.5239428', '4.2864606', '4.404908']",Courcelles,-,-,01.01.0001,31.12.9999
78,Tongeren,30.996,232,"87,56",354,"103,5",Limburg,50.7806267,5.4639172,"['50.7201495', '50.8223647', '5.3889662', '5.552954']",Tongres,Tongeren,Tongeren,01.01.0001,31.12.9999
79,Houthalen-Helchteren,30.655,1.379,"78,27",392,"90,5",Limburg,51.0281818,5.3713044,"['51.000655', '51.1040223', '5.3356206', '5.5221773']",-,Houthalen-Helchteren,-,01.01.1977,31.12.9999
80,Waterloo,30.328,947,"21,03",1.442,"123,5",Waals-Brabant,50.7153727,4.396367,"['50.6706279', '50.7359165', '4.3549831', '4.4413224']",Waterloo,-,-,01.01.0001,31.12.9999
81,Aarschot,30.115,338,"62,52",482,"113,8",Vlaams-Brabant,50.98550925,4.83374800692363,"['50.9581047', '51.0131002', '4.8003955', '4.8706121']",-,Aarschot,-,01.01.0001,31.12.9999
82,Temse,29.926,273,"39,91",750,"106,3",Oost-Vlaanderen,51.1421436,4.21335052785252,"['51.1087906', '51.1756294', '4.1772181', '4.2504759']",Tamise,Temse,Temse,01.01.0001,31.12.9999
83,Aarlen,29.858,272,"118,64",252,"116,3",Luxemburg,49.6827625,5.811919,"['49.621915', '49.727234', '5.6790251', '5.9106426']",Arlon,Aarlen,-,01.01.0001,31.12.9999
84,Aat,29.311,114,"126,95",231,"100,9",Henegouwen,50.6311349,3.7769485,"['50.5624603', '50.6974464', '3.6547134', '3.9133999']",Ath,Aat,-,01.01.0001,31.12.9999
85,Brecht,29.268,795,"90,84",322,"114,1",Antwerpen,51.3495582,4.6393435,"['51.2756306', '51.3823487', '4.5407768', '4.7235855']",-,Brecht,-,01.01.0001,31.12.9999
87,Nijvel,28.734,277,"60,60",474,"113,5",Waals-Brabant,50.5976885,4.3235854,"['50.5432244', '50.6352372', '4.2458068', '4.4066525']",Nivelles,Nijvel,-,01.01.0001,31.12.9999
88,Ans,28.373,412,"23,35",1.215,"90,4",Luik,50.6624326,5.5190612,"['50.6491629', '50.7229088', '5.4610085', '5.5524556']",Ans,-,-,01.01.0001,31.12.9999
89,Sambreville,28.288,375,"34,20",827,"87,0",Namen,50.4460443,4.6178902917413,"['50.4001053', '50.4924462', '4.572686', '4.6713061']",Sambreville,-,-,04.07.1978,31.12.9999
90,Herentals,28.177,473,"48,56",580,"109,2",Antwerpen,51.1855514,4.83464460984999,"['51.1551018', '51.2159099', '4.7756373', '4.8826216']",-,Herentals,-,01.01.0001,31.12.9999
91,Harelbeke,28.158,340,"29,14",966,"102,7",West-Vlaanderen,50.84497015,3.30921932061576,"['50.8177453', '50.8713318', '3.284705', '3.3491125']",-,Harelbeke,-,01.01.0001,31.12.9999
92,Izegem,28.018,236,"25,48",1.099,"102,7",West-Vlaanderen,50.91382225,3.2090654210557,"['50.8906834', '50.9368765', '3.1724721', '3.2437923']",-,Izegem,-,01.01.0001,31.12.9999
93,Zinnik,28.016,161,"110,30",254,"95,6",Henegouwen,50.5775309,4.0732968,"['50.5003614', '50.6336145', '3.9521708', '4.1305534']",Soignies,Zinnik,-,01.01.0001,31.12.9999
94,Sint-Joost-ten-Node,27.457,185,"1,14",24.037,"49,6",Brussel,50.8508197,4.3691634,"['50.8465511', '50.8600825', '4.3557754', '4.3831829']",Saint-Josse-ten-Noode,Sint-Joost-ten-Node,-,01.01.0001,31.12.9999
95,Andenne,27.391,222,"86,17",318,"90,8",Namen,50.4893981,5.0965468,"['50.4473749', '50.5315545', '4.9618491', '5.16409']",Andenne,-,-,01.01.0001,31.12.9999
96,Kapellen,26.850,1.072,"37,11",723,"126,7",Antwerpen,51.332759,4.43123183055578,"['51.3004388', '51.3644205', '4.3917068', '4.5190021']",-,Kapellen,-,01.01.0001,31.12.9999
97,Zottegem,26.582,175,"56,66",469,"118,5",Oost-Vlaanderen,50.86909165,3.81554601767985,"['50.8620344', '50.8761087', '3.8065172', '3.8373934']",-,Zottegem,-,01.01.0001,31.12.9999
98,Ronse,26.479,217,"34,48",768,"85,0",Oost-Vlaanderen,50.7476192,3.6020465,"['50.7210133', '50.7841934', '3.5378754', '3.6775202']",Renaix,Ronse,-,01.01.0001,31.12.9999
99,Willebroek,26.462,422,"27,41",966,"101,2",Antwerpen,51.0626964,4.35723246440333,"['51.0409491', '51.0844703', '4.3300794', '4.3917904']",-,Willebroek,-,01.01.0001,31.12.9999
100,Flémalle,26.304,293,"36,68",717,"88,6",Luik,50.6022808,5.4580872,"['50.557042', '50.629369', '5.3804516', '5.4889666']",Flémalle,-,-,01.01.1977,31.12.9999
101,Tubeke,26.233,484,"32,66",803,"90,5",Waals-Brabant,50.69302,4.204696,"['50.6521235', '50.7290783', '4.1309627', '4.2465439']",Tubize,Tubeke,-,01.01.0001,31.12.9999
102,Lievegem,26.162,133,"80,17",326,,Oost-Vlaanderen,51.12481035,3.58518178843266,"['51.074142', '51.17538', '3.5096511', '3.666909']",,Lievegem,,01.01.2019,31.12.9999
103,Mortsel,26.099,1.710,"7,78",3.353,"114,8",Antwerpen,51.1704119,4.4566996,"['51.1610297', '51.1895776', '4.433151', '4.4840387']",-,Mortsel,-,01.01.0001,31.12.9999
105,Puurs-Sint-Amands,25.882,210,"48,99",528,,Antwerpen,51.066411,4.2812346,"['51.0266328', '51.1021234', '4.1864725', '4.3603337']",,Puurs-Sint-Amands,,01.01.2019,31.12.9999
106,Lanaken,25.841,462,"59,00",438,"102,7",Limburg,50.8892784,5.6513208,"['50.8332557', '50.9445252', '5.571813', '5.724603']",-,Lanaken,-,01.01.0001,31.12.9999
107,Wetteren,25.815,236,"36,68",704,"107,8",Oost-Vlaanderen,50.9983603,3.87310405354379,"['50.9681768', '51.028343', '3.8206935', '3.923201']",-,Wetteren,-,01.01.0001,31.12.9999
108,Oupeye,25.446,316,"36,11",705,"95,6",Luik,50.7091889,5.6450671,"['50.6815349', '50.7531272', '5.5927078', '5.6920664']",Oupeye,-,-,01.01.0001,31.12.9999
109,Overijse,25.403,518,"44,43",572,"130,6",Vlaams-Brabant,50.7701622,4.5351806,"['50.7272784', '50.8080717', '4.4516688', '4.6135465']",-,Overijse,-,01.01.0001,31.12.9999
110,Maaseik,25.317,397,"76,91",329,"97,0",Limburg,51.0947181,5.791733,"['51.0187774', '51.129861', '5.6073296', '5.8338268']",-,Maaseik,-,01.01.0001,31.12.9999
111,Beersel,25.251,412,"30,01",842,"118,1",Vlaams-Brabant,50.7684353,4.30510975707024,"['50.7547668', '50.7821943', '4.2843378', '4.3387548']",-,Beersel,-,01.01.0001,31.12.9999
112,Watermaal-Bosvoorde,25.184,638,"12,93",1.947,"109,2",Brussel,50.7981063,4.4176441,"['50.7722458', '50.8150912', '4.3923973', '4.4702112']",Watermael-Boitsfort,Watermaal-Bosvoorde,-,01.01.0001,31.12.9999
113,Sint-Agatha-Berchem,25.179,3.747,"2,95",8.537,"85,6",Brussel,50.8649231,4.2946734,"['50.8552706', '50.8748901', '4.2791942', '4.3140336']",Berchem-Sainte-Agathe,Sint-Agatha-Berchem,-,01.01.0001,31.12.9999
114,Westerlo,25.051,437,"55,13",454,"109,1",Antwerpen,51.086694,4.9168675,"['51.0638251', '51.1477363', '4.8116505', '4.9480634']",-,Westerlo,-,01.01.0001,31.12.9999
115,Ganshoren,24.902,2.453,"2,46",10.142,"84,4",Brussel,50.8703273,4.307798,"['50.8657487', '50.8821034', '4.2914001', '4.3261046']",Ganshoren,Ganshoren,-,01.01.0001,31.12.9999
117,Merelbeke,24.660,332,"36,65",673,"124,6",Oost-Vlaanderen,50.99575615,3.74567419991459,"['50.9648362', '51.0273469', '3.7110963', '3.779177']",-,Merelbeke,-,01.01.0001,31.12.9999
118,Zwevegem,24.656,163,"63,24",390,"106,8",West-Vlaanderen,50.80406995,3.34190674262759,"['50.7795268', '50.828156', '3.3049548', '3.3792626']",-,Zwevegem,-,01.01.0001,31.12.9999
119,Saint-Nicolas,24.263,636,"6,84",3.546,"74,2",Luik,50.6305341,5.539419,"['50.6129221', '50.6513592', '5.5066107', '5.5492644']",Saint-Nicolas,-,-,01.01.0001,31.12.9999
120,Diest,23.998,190,"58,20",412,"112,8",Vlaams-Brabant,50.98456645,5.05287349625504,"['50.9731545', '50.9960722', '5.0324812', '5.0700614']",-,Diest,-,01.01.0001,31.12.9999
121,Maldegem,23.774,199,"94,64",251,"103,3",Oost-Vlaanderen,51.2088871,3.4452214,"['51.146858', '51.2744554', '3.360477', '3.544934']",-,Maldegem,-,01.01.0001,31.12.9999
122,Oostkamp,23.698,239,"79,65",298,"111,1",West-Vlaanderen,51.1511469,3.24972641333963,"['51.115734', '51.186519', '3.1915152', '3.2973646']",-,Oostkamp,-,01.01.0001,31.12.9999
123,Oudsbergen,23.532,781,"116,24",202,,Limburg,51.0933149,5.5540751,"['51.0188206', '51.1463397', '5.4544044', '5.6660666']",-,Oudsbergen,-,01.01.2019,31.12.9999
124,Zemst,23.358,399,"42,83",545,"130,9",Vlaams-Brabant,50.9842166,4.4650814,"['50.9465279', '51.0093147', '4.3694339', '4.5287027']",-,Zemst,-,01.01.0001,31.12.9999
125,Saint-Ghislain,23.311,207,"70,18",332,"94,5",Henegouwen,50.4477484,3.8195241,"['50.4382063', '50.5415289', '3.7365195', '3.8794189']",Saint-Ghislain,-,-,01.01.0001,31.12.9999
126,Manage,23.308,524,"19,60",1.189,"80,6",Henegouwen,50.5040159,4.2355599,"['50.4649718', '50.522387', '4.2040892', '4.2817323']",Manage,-,-,01.01.2019,31.12.9999
126,Manage,23.308,524,"19,60",1.189,"80,6",Henegouwen,50.5040159,4.2355599,"['50.4649718', '50.522387', '4.2040892', '4.2817323']",Manage,-,-,01.01.0001,31.12.2018
127,Scherpenheuvel-Zichem,23.029,381,"50,50",456,"109,2",Vlaams-Brabant,50.9799172,4.9729866,"['50.9530681', '51.0461797', '4.902425', '5.0222562']",Montaigu-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,02.01.1977,31.12.9999
128,Nijlen,22.949,543,"39,09",587,"108,3",Antwerpen,51.1611887,4.67095173170495,"['51.1411123', '51.1810801', '4.6249515', '4.7202599']",-,Nijlen,-,01.01.0001,31.12.9999
129,Fleurus,22.918,227,"59,28",387,"87,4",Henegouwen,50.482944,4.549699,"['50.4379751', '50.5423059', '4.4782107', '4.6007581']",Fleurus,-,-,01.01.0001,31.12.9999
130,Zedelgem,22.819,281,"60,34",378,"108,6",West-Vlaanderen,51.1389736,3.1395587,"['51.083988', '51.1674434', '3.0574805', '3.2152735']",-,Zedelgem,-,01.01.0001,31.12.9999
131,Grâce-Hollogne,22.660,231,"34,24",662,"83,7",Luik,50.644955,5.503152,"['50.6139077', '50.6611272', '5.3493908', '5.5126066']",Grâce-Hollogne,-,-,01.01.1971,31.12.9999
132,Balen,22.618,467,"72,88",310,"103,2",Antwerpen,51.1707551,5.1696859,"['51.116142', '51.2111377', '5.0886974', '5.2622543']",-,Balen,-,01.01.0001,31.12.9999
