Frans,Nederlands,Duits,Begin,Einde,Name
-,Hallaar,-,01.01.0001,01.01.1977,Hallaar
-,Heffen,-,01.01.0001,02.01.1977,Heffen
-,Heindonk,-,01.01.0001,01.01.1977,Heindonk
-,Heist-op-den-Berg,-,01.01.0001,31.12.9999,Heist-op-den-Berg
-,Hingene,-,01.01.0001,01.01.1977,Hingene
-,Hombeek,-,01.01.0001,02.01.1977,Hombeek
-,Itegem,-,01.01.0001,01.01.1977,Itegem
-,Kessel,-,01.01.0001,24.02.1977,Kessel
-,Koningshooikt,-,01.01.0001,02.01.1977,Koningshooikt
-,Leest,-,01.01.0001,02.01.1977,Leest
Lierre,Lier,Lier,01.01.0001,31.12.9999,Lier
-,Liezele,-,01.01.0001,01.01.1977,Liezele
-,Lippelo,-,01.01.0001,01.01.1977,Lippelo
-,Mariekerke,-,01.01.0001,01.01.1977,Mariekerke
Malines,Mechelen,Mechelen,01.01.0001,31.12.9999,Mechelen
-,Nijlen,-,01.01.0001,31.12.9999,Nijlen
-,Onze-Lieve-Vrouw-Waver,-,01.01.0001,02.01.1977,Onze-Lieve-Vrouw-Waver
-,Oppuurs,-,01.01.0001,01.01.1977,Oppuurs
-,Putte,-,01.01.0001,31.12.9999,Putte
-,Puurs,-,01.01.0001,31.12.2018,Puurs
-,Rijmenam,-,01.01.0001,02.01.1977,Rijmenam
-,Ruisbroek (Ant.),-,01.01.0001,01.01.1977,Ruisbroek (Ant.)
-,Schriek,-,01.01.0001,01.01.1977,Schriek
-,Sint-Amands,-,01.01.0001,31.12.2018,Sint-Amands
-,Sint-Katelijne-Waver,-,01.01.0001,31.12.9999,Sint-Katelijne-Waver
-,Tisselt,-,01.01.0001,01.01.1977,Tisselt
-,Walem,-,01.01.0001,02.01.1977,Walem
-,Weert,-,01.01.0001,01.01.1977,Weert
-,Wiekevorst,-,01.01.0001,01.01.1977,Wiekevorst
-,Willebroek,-,01.01.0001,31.12.9999,Willebroek
-,Arendonk,-,01.01.0001,31.12.9999,Arendonk
Baerle-Duc,Baarle-Hertog,Baarle-Hertog,01.01.0001,31.12.9999,Baarle-Hertog
-,Balen,-,01.01.0001,31.12.9999,Balen
-,Beerse,-,01.01.0001,31.12.9999,Beerse
-,Bouwel,-,01.01.0001,01.01.1977,Bouwel
-,Dessel,-,01.01.0001,31.12.9999,Dessel
-,Eindhout,-,01.01.0001,03.01.1977,Eindhout
-,Geel,-,01.01.0001,31.12.9999,Geel
-,Gierle,-,01.01.0001,01.01.1977,Gierle
-,Grobbendonk,-,01.01.0001,31.12.9999,Grobbendonk
-,Herentals,-,01.01.0001,31.12.9999,Herentals
-,Herenthout,-,01.01.0001,31.12.9999,Herenthout
-,Herselt,-,01.01.0001,31.12.9999,Herselt
-,Hoogstraten,-,01.01.0001,31.12.9999,Hoogstraten
-,Houtvenne,-,01.01.0001,01.01.1977,Houtvenne
-,Hulshout,-,01.01.0001,31.12.9999,Hulshout
-,Kasterlee,-,01.01.0001,31.12.9999,Kasterlee
-,Lichtaart,-,01.01.0001,01.01.1977,Lichtaart
-,Lille,-,01.01.0001,31.12.9999,Lille
-,Meer,-,01.01.0001,30.06.1977,Meer
-,Meerhout,-,01.01.0001,31.12.9999,Meerhout
-,Meerle,-,01.01.0001,30.06.1977,Meerle
-,Merksplas,-,01.01.0001,31.12.9999,Merksplas
-,Minderhout,-,01.01.0001,30.06.1977,Minderhout
-,Mol,-,01.01.0001,31.12.9999,Mol
-,Morkhoven,-,01.01.0001,01.01.1977,Morkhoven
-,Noorderwijk,-,01.01.0001,01.01.1977,Noorderwijk
-,Oevel,-,01.01.0001,03.01.1977,Oevel
-,Olen,-,01.01.0001,31.12.9999,Olen
-,Olmen,-,01.01.0001,09.08.1977,Olmen
-,Oud-Turnhout,-,01.01.0001,31.12.9999,Oud-Turnhout
-,Poederlee,-,01.01.0001,01.01.1977,Poederlee
-,Poppel,-,01.01.0001,03.01.1977,Poppel
-,Ramsel,-,01.01.0001,30.06.1977,Ramsel
-,Ravels,-,01.01.0001,31.12.9999,Ravels
-,Retie,-,01.01.0001,31.12.9999,Retie
-,Rijkevorsel,-,01.01.0001,31.12.9999,Rijkevorsel
-,Tielen,-,01.01.0001,01.01.1977,Tielen
-,Tongerlo (Ant.),-,01.01.0001,09.03.1971,Tongerlo (Ant.)
-,Turnhout,-,01.01.0001,31.12.9999,Turnhout
-,Varendonk,-,01.01.0001,30.09.1971,Varendonk
-,Veerle,-,01.01.0001,03.01.1977,Veerle
-,Vlimmeren,-,01.01.0001,02.01.1977,Vlimmeren
-,Vorselaar,-,01.01.0001,31.12.9999,Vorselaar
-,Vorst (Vl.),-,01.01.0001,03.01.1977,Vorst (Vl.)
-,Vosselaar,-,01.01.0001,31.12.9999,Vosselaar
-,Wechelderzande,-,01.01.0001,01.01.1977,Wechelderzande
-,Weelde,-,01.01.0001,03.01.1977,Weelde
-,Westerlo,-,01.01.0001,31.12.9999,Westerlo
-,Westmeerbeek,-,01.01.0001,01.01.1977,Westmeerbeek
-,Wortel,-,01.01.0001,30.06.1977,Wortel
-,Zoerle-Parwijs,-,01.01.0001,09.03.1971,Zoerle-Parwijs
-,Laakdal,-,03.01.1977,31.12.9999,Laakdal
Pr.Brabant,Pr.Brabant,Pr.Brabant,01.01.0001,31.12.9999,Pr.Brabant
Pr. Brabant flamand,Pr.Vlaams-Brabant,Pr. Flämisch-Brabant,01.01.0001,31.12.9999,Pr.Vlaams-Brabant
Pr. Brabant wallon,Pr.Waals-Brabant,Pr. Wallonisch-Brabant,01.01.0001,31.12.9999,Pr.Waals-Brabant
Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,Brüsseler Region,01.01.0001,31.12.9999,Brussels Hoofdstedelijk Gewest
Anderlecht,Anderlecht,-,01.01.0001,31.12.9999,Anderlecht
Auderghem,Oudergem,-,01.01.0001,31.12.9999,Oudergem
Berchem-Sainte-Agathe,Sint-Agatha-Berchem,-,01.01.0001,31.12.9999,Sint-Agatha-Berchem
Bruxelles,Brussel,-,01.01.0001,31.12.9999,Brussel
Etterbeek,Etterbeek,-,01.01.0001,31.12.9999,Etterbeek
Evere,Evere,-,01.01.0001,31.12.9999,Evere
Forest,Vorst,-,01.01.0001,31.12.9999,Vorst
Ganshoren,Ganshoren,-,01.01.0001,31.12.9999,Ganshoren
Ixelles,Elsene,-,01.01.0001,31.12.9999,Elsene
Jette,Jette,-,01.01.0001,31.12.9999,Jette
Koekelberg,Koekelberg,-,01.01.0001,31.12.9999,Koekelberg
Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,-,01.01.0001,31.12.9999,Sint-Jans-Molenbeek
Saint-Gilles,Sint-Gillis (bij-Brussel),-,01.01.0001,31.12.9999,Sint-Gillis (bij-Brussel)
Saint-Josse-ten-Noode,Sint-Joost-ten-Node,-,01.01.0001,31.12.9999,Sint-Joost-ten-Node
Schaerbeek,Schaarbeek,-,01.01.0001,31.12.9999,Schaarbeek
Uccle,Ukkel,-,01.01.0001,31.12.9999,Ukkel
Watermael-Boitsfort,Watermaal-Bosvoorde,-,01.01.0001,31.12.9999,Watermaal-Bosvoorde
Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,-,01.01.0001,31.12.9999,Sint-Lambrechts-Woluwe
Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,-,01.01.0001,31.12.9999,Sint-Pieters-Woluwe
Bruxelles(Etra.),Brussel(Vr.),-,01.01.0001,31.12.9999,Brussel(Vr.)
Bruxelles II,Brussel II,-,01.01.0001,31.12.9999,Brussel II
Bruxelles(district 2),Brussel(district 2),Brussel(Distrikt 2),01.01.0001,31.12.9999,Brussel(district 2)
Haren,Haren,-,01.01.0001,12.04.1921,Haren
Laeken,Laken,-,01.01.0001,12.04.1921,Laken
Neder-Over-Heembeek,Neder-Over-Heembeek,-,01.01.0001,12.04.1921,Neder-Over-Heembeek
Brabant flamand,Vlaams-Brabant,Flämisch-Brabant,01.01.0001,31.12.9999,Vlaams-Brabant
-,Alsemberg,-,01.01.0001,02.01.1977,Alsemberg
-,Asse,-,01.01.0001,31.12.9999,Asse
-,Beersel,-,01.01.0001,31.12.9999,Beersel
Brages,Beert,Beert,01.01.0001,03.01.1977,Beert
-,Beigem,-,01.01.0001,03.01.1977,Beigem
-,Bekkerzeel,-,01.01.0001,02.01.1977,Bekkerzeel
-,Bellingen,-,01.01.0001,03.01.1977,Bellingen
-,Berg (Brab.),-,01.01.0001,02.01.1977,Berg (Brab.)
Biévène,Bever,-,01.01.0001,31.12.9999,Bever
-,Bogaarden,-,01.01.0001,03.01.1977,Bogaarden
-,Borchtlombeek,-,01.01.0001,03.01.1977,Borchtlombeek
-,Brussegem,-,01.01.0001,24.03.1977,Brussegem
-,Buizingen,-,01.01.0001,01.01.1977,Buizingen
-,Buken,-,01.01.0001,02.01.1977,Buken
-,Diegem,-,01.01.0001,02.01.1977,Diegem
-,Dilbeek,-,01.01.0001,31.12.9999,Dilbeek
Tourneppe,Dworp,Dworp,01.01.0001,02.01.1977,Dworp
-,Elewijt,-,01.01.0001,01.01.1977,Elewijt
-,Elingen,-,01.01.0001,03.01.1977,Elingen
-,Eppegem,-,01.01.0001,01.01.1977,Eppegem
-,Essene,-,01.01.0001,01.01.1977,Essene
-,Gaasbeek,-,01.01.0001,01.01.1977,Gaasbeek
Gammerages,Galmaarden,Galmaarden,01.01.0001,31.12.9999,Galmaarden
-,Gooik,-,01.01.0001,31.12.9999,Gooik
-,Grimbergen,-,01.01.0001,31.12.9999,Grimbergen
-,Groot-Bijgaarden,-,01.01.0001,02.01.1977,Groot-Bijgaarden
Hal,Halle,Halle,01.01.0001,31.12.9999,Halle
-,Hamme (Brab.),-,01.01.0001,01.01.1977,Hamme (Brab.)
-,Heikruis,-,01.01.0001,03.01.1977,Heikruis
-,Hekelgem,-,01.01.0001,20.09.1980,Hekelgem
-,Herfelingen,-,01.01.0001,28.04.1977,Herfelingen
-,Herne,-,01.01.0001,31.12.9999,Herne
-,Hoeilaart,-,01.01.0001,31.12.9999,Hoeilaart
-,Hofstade (Brab.),-,01.01.0001,01.01.1977,Hofstade (Brab.)
-,Huizingen,-,01.01.0001,02.01.1977,Huizingen
-,Humbeek,-,01.01.0001,03.01.1977,Humbeek
-,Itterbeek,-,01.01.0001,02.01.1977,Itterbeek
-,Kampenhout,-,01.01.0001,31.12.9999,Kampenhout
-,Kapelle-op-den-Bos,-,01.01.0001,31.12.9999,Kapelle-op-den-Bos
-,Kester,-,01.01.0001,03.01.1977,Kester
-,Kobbegem,-,01.01.0001,02.01.1977,Kobbegem
-,Leerbeek,-,01.01.0001,03.01.1977,Leerbeek
-,Lembeek,-,01.01.0001,01.01.1977,Lembeek
-,Liedekerke,-,01.01.0001,31.12.9999,Liedekerke
-,Londerzeel,-,01.01.0001,31.12.9999,Londerzeel
-,Lot,-,01.01.0001,02.01.1977,Lot
-,Machelen (Brab.),-,01.01.0001,31.12.9999,Machelen (Brab.)
-,Malderen,-,01.01.0001,01.01.1977,Malderen
-,Mazenzele,-,01.01.0001,01.01.1977,Mazenzele
-,Meise,-,01.01.0001,31.12.9999,Meise
-,Melsbroek,-,01.01.0001,01.01.1977,Melsbroek
-,Merchtem,-,01.01.0001,31.12.9999,Merchtem
-,Mollem,-,01.01.0001,02.01.1977,Mollem
-,Muizen,-,01.01.0001,02.01.1977,Muizen
-,Nederokkerzeel,-,01.01.0001,02.01.1977,Nederokkerzeel
-,Nieuwenrode,-,01.01.0001,03.01.1977,Nieuwenrode
-,Nossegem,-,01.01.0001,02.01.1977,Nossegem
-,Oetingen,-,01.01.0001,03.01.1977,Oetingen
-,Onze-Lieve-Vrouw-Lombeek,-,01.01.0001,02.01.1965,Onze-Lieve-Vrouw-Lombeek
-,Opwijk,-,01.01.0001,31.12.9999,Opwijk
-,Oudenaken,-,01.01.0001,02.01.1977,Oudenaken
-,Overijse,-,01.01.0001,31.12.9999,Overijse
-,Pamel,-,01.01.0001,02.01.1965,Pamel
-,Pepingen,-,01.01.0001,31.12.9999,Pepingen
-,Perk,-,01.01.0001,01.01.1977,Perk
-,Peutie,-,01.01.0001,06.01.1977,Peutie
-,Ramsdonk,-,01.01.0001,03.01.1977,Ramsdonk
-,Relegem,-,01.01.0001,02.01.1977,Relegem
-,Ruisbroek (Brab.),-,01.01.0001,02.01.1977,Ruisbroek (Brab.)
-,Schepdaal,-,01.01.0001,02.01.1977,Schepdaal
-,Sint-Katherina-Lombeek,-,01.01.0001,02.01.1977,Sint-Katherina-Lombeek
-,Sint-Kwintens-Lennik,-,01.01.0001,01.01.1977,Sint-Kwintens-Lennik
-,Sint-Laureins-Berchem,-,01.01.0001,02.01.1977,Sint-Laureins-Berchem
-,Sint-Martens-Bodegem,-,01.01.0001,02.01.1977,Sint-Martens-Bodegem
-,Sint-Martens-Lennik,-,01.01.0001,01.01.1977,Sint-Martens-Lennik
Saint-Pierre-Capelle,Sint-Pieters-Kapelle,Sint-Pieters-Kapelle,01.01.0001,28.04.1977,Sint-Pieters-Kapelle
-,Sint-Pieters-Leeuw,-,01.01.0001,31.12.9999,Sint-Pieters-Leeuw
Woluwe-Saint-Etienne,Sint-Stevens-Woluwe,Sint-Stevens-Woluwe,01.01.0001,02.01.1977,Sint-Stevens-Woluwe
-,Sint-Ulriks-Kapelle,-,01.01.0001,02.01.1977,Sint-Ulriks-Kapelle
-,Steenhuffel,-,01.01.0001,01.01.1977,Steenhuffel
-,Steenokkerzeel,-,01.01.0001,31.12.9999,Steenokkerzeel
-,Sterrebeek,-,01.01.0001,02.01.1977,Sterrebeek
-,Strijtem,-,01.01.0001,02.01.1965,Strijtem
-,Strombeek-Bever,-,01.01.0001,03.01.1977,Strombeek-Bever
-,Teralfene,-,01.01.0001,01.01.1977,Teralfene
-,Ternat,-,01.01.0001,31.12.9999,Ternat
-,Tollembeek,-,01.01.0001,02.01.1977,Tollembeek
Vilvorde,Vilvoorde,Vilvoorde,01.01.0001,31.12.9999,Vilvoorde
-,Vlezenbeek,-,01.01.0001,02.01.1977,Vlezenbeek
-,Vollezele,-,01.01.0001,02.01.1977,Vollezele
-,Wambeek,-,01.01.0001,02.01.1977,Wambeek
-,Weerde,-,01.01.0001,01.01.1977,Weerde
-,Wolvertem,-,01.01.0001,24.03.1977,Wolvertem
-,Zaventem,-,01.01.0001,31.12.9999,Zaventem
-,Zellik,-,01.01.0001,02.01.1977,Zellik
-,Zemst,-,01.01.0001,31.12.9999,Zemst
-,Roosdaal,-,02.01.1965,31.12.9999,Roosdaal
-,Drogenbos,-,01.01.0001,31.12.9999,Drogenbos
-,Kraainem,-,01.01.0001,31.12.9999,Kraainem
-,Linkebeek,-,01.01.0001,31.12.9999,Linkebeek
Rhode-Saint-Genèse,Sint-Genesius-Rode,-,01.01.0001,31.12.9999,Sint-Genesius-Rode
-,Wemmel,-,01.01.0001,31.12.9999,Wemmel
-,Wezembeek-Oppem,-,01.01.0001,31.12.9999,Wezembeek-Oppem
-,Lennik,-,01.01.1977,31.12.9999,Lennik
-,Affligem,-,01.01.0001,31.12.9999,Affligem
-,Aarschot,-,01.01.0001,31.12.9999,Aarschot
-,Assent,-,01.01.0001,03.01.1977,Assent
-,Attenhoven,-,01.01.0001,02.01.1977,Attenhoven
-,Attenrode,-,01.01.0001,01.01.1977,Attenrode
-,Averbode,-,01.01.0001,02.01.1977,Averbode
-,Baal,-,01.01.0001,03.01.1977,Baal
-,Begijnendijk,-,01.01.0001,31.12.9999,Begijnendijk
-,Bekkevoort,-,01.01.0001,31.12.9999,Bekkevoort
-,Bertem,-,01.01.0001,31.12.9999,Bertem
-,Betekom,-,01.01.0001,03.01.1977,Betekom
-,Bierbeek,-,01.01.0001,31.12.9999,Bierbeek
-,Binkom,-,01.01.0001,01.01.1977,Binkom
-,Blanden,-,01.01.0001,22.02.1977,Blanden
-,Boortmeerbeek,-,01.01.0001,31.12.9999,Boortmeerbeek
-,Bost,-,01.01.0001,01.01.1971,Bost
-,Boutersem,-,01.01.0001,31.12.9999,Boutersem
-,Budingen,-,01.01.0001,01.01.1977,Budingen
-,Bunsbeek,-,01.01.0001,01.01.1977,Bunsbeek
-,Deurne (bij-Diest),-,01.01.0001,03.01.1977,Deurne (bij-Diest)
-,Diest,-,01.01.0001,31.12.9999,Diest
-,Dormaal,-,01.01.0001,02.01.1971,Dormaal
-,Drieslinter,-,01.01.0001,01.04.1972,Drieslinter
-,Duisburg,-,01.01.0001,02.01.1977,Duisburg
-,Eliksem,-,01.01.0001,01.01.1971,Eliksem
-,Erps-Kwerps,-,01.01.0001,03.01.1977,Erps-Kwerps
-,Everberg,-,01.01.0001,03.01.1977,Everberg
-,Ezemaal,-,01.01.0001,01.01.1971,Ezemaal
-,Geetbets,-,01.01.0001,31.12.9999,Geetbets
-,Gelrode,-,01.01.0001,03.01.1977,Gelrode
-,Glabbeek-Zuurbemde,-,01.01.0001,20.09.1980,Glabbeek-Zuurbemde
Gossoncourt,Goetsenhoven,Goetsenhoven,01.01.0001,01.01.1977,Goetsenhoven
-,Grazen,-,01.01.0001,01.01.1971,Grazen
-,Haacht,-,01.01.0001,31.12.9999,Haacht
-,Haasrode,-,01.01.0001,22.02.1977,Haasrode
-,Hakendover,-,01.01.0001,01.01.1977,Hakendover
-,Halle-Booienhoven,-,01.01.0001,01.01.1977,Halle-Booienhoven
-,Helen-Bos,-,01.01.0001,31.08.1971,Helen-Bos
-,Herent,-,01.01.0001,31.12.9999,Herent
-,Hever,-,01.01.0001,01.01.1977,Hever
-,Heverlee,-,01.01.0001,02.01.1977,Heverlee
-,Hoegaarden,-,01.01.0001,31.12.9999,Hoegaarden
-,Hoeleden,-,01.01.0001,01.01.1977,Hoeleden
-,Holsbeek,-,01.01.0001,31.12.9999,Holsbeek
-,Houwaart,-,01.01.0001,01.01.1977,Houwaart
-,Huldenberg,-,01.01.0001,31.12.9999,Huldenberg
-,Kaggevinne,-,01.01.0001,03.01.1977,Kaggevinne
-,Kapellen (Brab.),-,01.01.0001,01.01.1977,Kapellen (Brab.)
-,Keerbergen,-,01.01.0001,31.12.9999,Keerbergen
-,Kerkom,-,01.01.0001,26.01.1971,Kerkom
-,Kersbeek-Miskom,-,01.01.0001,01.01.1977,Kersbeek-Miskom
-,Kessel-Lo,-,01.01.0001,02.01.1977,Kessel-Lo
-,Korbeek-Dijle,-,01.01.0001,03.01.1977,Korbeek-Dijle
-,Korbeek-Lo,-,01.01.0001,02.01.1977,Korbeek-Lo
-,Kortenaken,-,01.01.0001,31.12.9999,Kortenaken
-,Kortenberg,-,01.01.0001,31.12.9999,Kortenberg
-,Kortrijk-Dutsel,-,01.01.0001,02.01.1977,Kortrijk-Dutsel
-,Kumtich,-,01.01.0001,02.01.1977,Kumtich
-,Laar,-,01.01.0001,01.01.1971,Laar
-,Landen,-,01.01.0001,31.12.9999,Landen
-,Langdorp,-,01.01.0001,03.01.1977,Langdorp
-,Leefdaal,-,01.01.0001,03.01.1977,Leefdaal
Louvain,Leuven,Löwen,01.01.0001,31.12.9999,Leuven
-,Linden,-,01.01.0001,01.01.1977,Linden
-,Loonbeek,-,01.01.0001,01.01.1977,Loonbeek
-,Lovenjoel,-,01.01.0001,01.01.1977,Lovenjoel
-,Lubbeek,-,01.01.0001,31.12.9999,Lubbeek
-,Meensel-Kiezegem,-,01.01.0001,01.01.1977,Meensel-Kiezegem
-,Meerbeek,-,01.01.0001,03.01.1977,Meerbeek
-,Meldert,-,01.01.0001,02.01.1965,Meldert
-,Melkwezer,-,01.01.0001,01.01.1971,Melkwezer
-,Messelbroek,-,01.01.0001,02.01.1977,Messelbroek
-,Molenbeek-Wersbeek,-,01.01.0001,03.01.1977,Molenbeek-Wersbeek
-,Molenstede,-,01.01.0001,03.01.1977,Molenstede
-,Neerhespen,-,01.01.0001,01.01.1971,Neerhespen
-,Neerijse,-,01.01.0001,01.01.1977,Neerijse
-,Neerlanden,-,01.01.0001,01.01.1971,Neerlanden
