City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category
Antwerpen,De Arme Duivel,51.21649226022394,4.407913696160052,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Antwerpen,Wild Project,51.219916071300254,4.396964970006253,https://ss3.4sqi.net/img/categories_v2/food/vegetarian_,Vegetarian / Vegan Restaurant
Antwerpen,Papa Jos,51.222459571013,4.408575734543131,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Antwerpen,Hof van Liere,51.222955845511166,4.410248712122177,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_,Historic Site
Antwerpen,ComoComo,51.216154919683405,4.401725416221411,https://ss3.4sqi.net/img/categories_v2/food/spanish_,Spanish Restaurant
Antwerpen,Amadeus 2,51.221197409752534,4.3976991341829015,https://ss3.4sqi.net/img/categories_v2/food/bbqalt_,BBQ Joint
Antwerpen,Sienna & Lois,51.215959397503894,4.401988932528893,https://ss3.4sqi.net/img/categories_v2/shops/apparel_women_,Women's Store
Antwerpen,Meir,51.21823228219874,4.409352558636402,https://ss3.4sqi.net/img/categories_v2/shops/mall_,Shopping Plaza
Antwerpen,Sissy-Boy,51.21688024724778,4.399233252225552,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store
Antwerpen,Zest Fresh Juice Bar,51.21769319803074,4.411259003086662,https://ss3.4sqi.net/img/categories_v2/food/juicebar_,Juice Bar
Antwerpen,Domestic Bakery & Cuisinette,51.21602577958321,4.404784297023489,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery
Antwerpen,Koffieklap,51.22438159437508,4.404371699078329,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,Toneelhuis (Bourla Schouwburg),51.216000384587424,4.406641587515113,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_,Theater
Antwerpen,LUSH,51.21842923083103,4.413353124865383,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics Shop
Antwerpen,Het Gebaar,51.21388597232265,4.407062825097018,https://ss3.4sqi.net/img/categories_v2/food/moleculargastronomy_,Molecular Gastronomy Restaurant
