ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
89,Sambreville,28288,375.0,34.2,827,87.0,Namen,50.4460443,4.6178902917413,"['50.4001053', '50.4924462', '4.572686', '4.6713061']",Sambreville,-,-,04.07.1978,31.12.9999,Sambreville
90,Herentals,28177,473.0,48.56,580,109.2,Antwerpen,51.185551399999994,4.83464460984999,"['51.1551018', '51.2159099', '4.7756373', '4.8826216']",-,Herentals,-,01.01.0001,31.12.9999,Herentals
91,Harelbeke,28158,340.0,29.14,966,102.7,West-Vlaanderen,50.84497015,3.3092193206157594,"['50.8177453', '50.8713318', '3.284705', '3.3491125']",-,Harelbeke,-,01.01.0001,31.12.9999,Harelbeke
92,Izegem,28018,236.0,25.48,1099,102.7,West-Vlaanderen,50.91382225,3.2090654210557004,"['50.8906834', '50.9368765', '3.1724721', '3.2437923']",-,Izegem,-,01.01.0001,31.12.9999,Izegem
93,Zinnik,28016,161.0,110.3,254,95.6,Henegouwen,50.5775309,4.0732968000000005,"['50.5003614', '50.6336145', '3.9521708', '4.1305534']",Soignies,Zinnik,-,01.01.0001,31.12.9999,Soignies
94,Sint-Joost-ten-Node,27457,185.0,1.14,24037,49.6,Brussel,50.8508197,4.369163400000001,"['50.8465511', '50.8600825', '4.3557754', '4.3831829']",Saint-Josse-ten-Noode,Sint-Joost-ten-Node,-,01.01.0001,31.12.9999,Sint-Joost-ten-Node#Saint-Josse-ten-Noode
95,Andenne,27391,222.0,86.17,318,90.8,Namen,50.4893981,5.0965468000000005,"['50.4473749', '50.5315545', '4.9618491', '5.16409']",Andenne,-,-,01.01.0001,31.12.9999,Andenne
96,Kapellen,26850,1.072,37.11,723,126.7,Antwerpen,51.332759,4.431231830555781,"['51.3004388', '51.3644205', '4.3917068', '4.5190021']",-,Kapellen,-,01.01.0001,31.12.9999,Kapellen
97,Zottegem,26582,175.0,56.66,469,118.5,Oost-Vlaanderen,50.86909165,3.81554601767985,"['50.8620344', '50.8761087', '3.8065172', '3.8373934']",-,Zottegem,-,01.01.0001,31.12.9999,Zottegem
98,Ronse,26479,217.0,34.48,768,85.0,Oost-Vlaanderen,50.7476192,3.6020464999999997,"['50.7210133', '50.7841934', '3.5378754', '3.6775202']",Renaix,Ronse,-,01.01.0001,31.12.9999,Ronse#Renaix
99,Willebroek,26462,422.0,27.41,966,101.2,Antwerpen,51.0626964,4.35723246440333,"['51.0409491', '51.0844703', '4.3300794', '4.3917904']",-,Willebroek,-,01.01.0001,31.12.9999,Willebroek
100,Flémalle,26304,293.0,36.68,717,88.6,Luik,50.602280799999996,5.4580872000000005,"['50.557042', '50.629369', '5.3804516', '5.4889666']",Flémalle,-,-,01.01.1977,31.12.9999,Flémalle
101,Tubeke,26233,484.0,32.66,803,90.5,Waals-Brabant,50.693020000000004,4.204696,"['50.6521235', '50.7290783', '4.1309627', '4.2465439']",Tubize,Tubeke,-,01.01.0001,31.12.9999,Tubize
102,Lievegem,26162,133.0,80.17,326,,Oost-Vlaanderen,51.12481035,3.58518178843266,"['51.074142', '51.17538', '3.5096511', '3.666909']",,Lievegem,,01.01.2019,31.12.9999,Lievegem
103,Mortsel,26099,1.71,7.78,3353,114.8,Antwerpen,51.1704119,4.4566996,"['51.1610297', '51.1895776', '4.433151', '4.4840387']",-,Mortsel,-,01.01.0001,31.12.9999,Mortsel
104,Gembloers,26014,222.0,95.86,271,110.3,Namen,50.5597273,4.6943126,"['50.4960286', '50.6114648', '4.6253648', '4.8066491']",,,,,,
105,Puurs-Sint-Amands,25882,210.0,48.99,528,,Antwerpen,51.066410999999995,4.2812345999999994,"['51.0266328', '51.1021234', '4.1864725', '4.3603337']",,Puurs-Sint-Amands,,01.01.2019,31.12.9999,Puurs-Sint-Amands
106,Lanaken,25841,462.0,59.0,438,102.7,Limburg,50.8892784,5.6513208,"['50.8332557', '50.9445252', '5.571813', '5.724603']",-,Lanaken,-,01.01.0001,31.12.9999,Lanaken
107,Wetteren,25815,236.0,36.68,704,107.8,Oost-Vlaanderen,50.998360299999995,3.87310405354379,"['50.9681768', '51.028343', '3.8206935', '3.923201']",-,Wetteren,-,01.01.0001,31.12.9999,Wetteren
108,Oupeye,25446,316.0,36.11,705,95.6,Luik,50.709188899999994,5.6450670999999994,"['50.6815349', '50.7531272', '5.5927078', '5.6920664']",Oupeye,-,-,01.01.0001,31.12.9999,Oupeye
109,Overijse,25403,518.0,44.43,572,130.6,Vlaams-Brabant,50.7701622,4.5351805999999995,"['50.7272784', '50.8080717', '4.4516688', '4.6135465']",-,Overijse,-,01.01.0001,31.12.9999,Overijse
110,Maaseik,25317,397.0,76.91,329,97.0,Limburg,51.0947181,5.791733,"['51.0187774', '51.129861', '5.6073296', '5.8338268']",-,Maaseik,-,01.01.0001,31.12.9999,Maaseik
111,Beersel,25251,412.0,30.01,842,118.1,Vlaams-Brabant,50.76843529999999,4.30510975707024,"['50.7547668', '50.7821943', '4.2843378', '4.3387548']",-,Beersel,-,01.01.0001,31.12.9999,Beersel
