City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2
Zutendaal,De Biechtstoel,50.93233529603304,5.571593511923502,https://ss3.4sqi.net/img/categories_v2/food/french_,Brasserie,food,food french_
Zutendaal,Halte Zutendaal Kerk,50.93220594580136,5.571612700440958,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_
Zutendaal,Le Cinquième,50.932095064586505,5.5709722352570505,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_
Zutendaal,drukkerij de rijcke-pauli,50.93239072783164,5.570676624103185,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore,shops,shops bookstore_
Zutendaal,Halte Zutendaal Gewaai,50.93187086886074,5.5800252590211885,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_
Zutendaal,Verzekeringen Bijnens,50.93195259112403,5.570449794640258,https://ss3.4sqi.net/img/categories_v2/shops/financial_,Insurance Office,shops,shops financial_
Zutendaal,Apotheek Thoen,50.93319367160532,5.570015433282795,https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_,Pharmacy,shops,shops pharmacy_
Zutendaal,Vijverplein,50.93115971277906,5.570905515655936,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_
Zutendaal,De Kapelanij,50.93083876306448,5.570987382413403,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant,food,food default_
Zutendaal,Halte 15 Augustusstraat,50.93139392820468,5.580575055028022,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_
Zutendaal,Ruitersport Hermans,50.929296635665104,5.574629220776812,https://ss3.4sqi.net/img/categories_v2/shops/pet_store_,Pet Store,shops,shops pet_store_
Zutendaal,vonderpark,50.93119034529584,5.580569026701523,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,parks_outdoors,parks_outdoors park_
