Frans,Nederlands,Duits,Begin,Einde
-,Wachtebeke,-,01.01.0001,31.12.9999
-,Wondelgem,-,01.01.0001,01.01.1977
-,Wontergem,-,01.01.0001,01.01.1977
-,Zaffelare,-,01.01.0001,02.01.1977
-,Zeveneken,-,01.01.0001,02.01.1977
-,Zeveren,-,01.01.0001,04.03.1971
-,Zevergem,-,01.01.0001,01.01.1977
-,Zomergem,-,01.01.0001,31.12.2018
-,Zulte,-,01.01.0001,31.12.9999
-,Zwijnaarde,-,01.01.0001,02.04.1977
-,Gent Oost,-,01.01.0001,31.12.9999
-,Gent West,-,01.01.0001,31.12.9999
-,Beerlegem,-,01.01.0001,01.01.1971
-,Berchem (Vl.),-,01.01.0001,01.01.1971
-,Bevere,-,01.01.0001,02.01.1965
-,Deftinge,-,01.01.0001,01.01.1977
-,Dikkele,-,01.01.0001,01.01.1971
-,Edelare,-,01.01.0001,02.01.1965
-,Eine,-,01.01.0001,02.01.1965
-,Elsegem,-,01.01.0001,01.10.1971
-,Elst,-,01.01.0001,15.04.1971
-,Ename,-,01.01.0001,02.01.1965
-,Etikhove,-,01.01.0001,01.01.1977
-,Everbeek,-,01.01.0001,17.11.1977
-,Hemelveerdegem,-,01.01.0001,01.01.1977
-,Heurne,-,01.01.0001,01.01.1971
-,Huise,-,01.01.0001,02.05.1977
-,Hundelgem,-,01.01.0001,01.01.1971
-,Kruishoutem,-,01.01.0001,31.12.2018
-,Kwaremont,-,01.01.0001,01.01.1971
-,Leupegem,-,01.01.0001,02.01.1965
-,Maarke-Kerkem,-,01.01.0001,01.01.1977
-,Mater,-,01.01.0001,01.01.1971
-,Meilegem,-,01.01.0001,01.01.1971
-,Melden,-,01.01.0001,01.01.1971
-,Michelbeke,-,01.01.0001,15.04.1971
-,Moregem,-,01.01.0001,01.10.1971
-,Mullem,-,01.01.0001,01.01.1977
-,Munkzwalm,-,01.01.0001,13.09.1977
-,Nederbrakel,-,01.01.0001,15.04.1971
-,Nederename,-,01.01.0001,02.01.1965
-,Nederzwalm-Hermelgem,-,01.01.0001,13.09.1977
-,Nokere,-,01.01.0001,01.01.1977
-,Nukerke,-,01.01.0001,01.01.1977
-,Ooike,-,01.01.0001,01.01.1977
-,Opbrakel,-,01.01.0001,15.04.1971
Audenarde,Oudenaarde,Oudenaarde,01.01.0001,31.12.9999
-,Ouwegem,-,01.01.0001,02.05.1977
-,Parike,-,01.01.0001,17.11.1977
-,Paulatem,-,01.01.0001,01.01.1971
-,Petegem-aan-de-Schelde,-,01.01.0001,01.10.1971
-,Roborst,-,01.01.0001,01.01.1971
Renaix,Ronse,-,01.01.0001,31.12.9999
-,Rozebeke,-,01.01.0001,01.01.1971
-,Ruien,-,01.01.0001,01.01.1971
-,Schorisse,-,01.01.0001,01.01.1977
-,Sint-Blasius-Boekel,-,01.01.0001,01.01.1971
-,Sint-Denijs-Boekel,-,01.01.0001,01.01.1971
-,Sint-Kornelis-Horebeke,-,01.01.0001,02.01.1977
-,Sint-Maria-Horebeke,-,01.01.0001,02.01.1977
-,Sint-Maria-Latem,-,01.01.0001,01.01.1971
-,Sint-Maria-Lierde,-,01.01.0001,01.01.1977
-,Sint-Martens-Lierde,-,01.01.0001,01.01.1977
-,Volkegem,-,01.01.0001,02.01.1965
-,Wannegem-Lede,-,01.01.0001,01.01.1977
-,Welden,-,01.01.0001,01.01.1971
-,Wortegem,-,01.01.0001,01.10.1971
-,Zegelsem,-,01.01.0001,15.04.1971
-,Zingem,-,01.01.0001,31.12.2018
-,Zulzeke,-,01.01.0001,01.01.1971
-,Brakel,-,15.04.1971,31.12.9999
-,Kluisbergen,-,01.01.1971,31.12.9999
-,Wortegem-Petegem,-,01.10.1971,31.12.9999
-,Horebeke,-,01.01.1977,31.12.9999
-,Lierde,-,01.01.1977,31.12.9999
-,Maarkedal,-,01.01.1977,31.12.9999
-,Zwalm,-,13.09.1977,31.12.9999
-,Hermelgem,-,01.01.0001,01.01.1900
-,Nederzwalm,-,01.01.0001,01.01.1900
-,Bazel,-,01.01.0001,01.04.1977
-,Belsele,-,01.01.0001,01.01.1977
-,Beveren,-,01.01.0001,31.12.9999
-,Daknam,-,01.01.0001,01.01.1977
-,De Klinge,-,01.01.0001,02.01.1977
-,Doel,-,01.01.0001,03.01.1977
-,Eksaarde,-,01.01.0001,01.01.1977
-,Elversele,-,01.01.0001,03.01.1977
-,Haasdonk,-,01.01.0001,03.01.1977
-,Kallo,-,01.01.0001,03.01.1977
-,Kemzeke,-,01.01.0001,08.02.1977
-,Kieldrecht,-,01.01.0001,03.01.1977
-,Kruibeke,-,01.01.0001,31.12.9999
-,Lokeren,-,01.01.0001,31.12.9999
-,Meerdonk,-,01.01.0001,02.01.1977
-,Melsele,-,01.01.0001,03.01.1977
-,Nieuwkerken-Waas,-,01.01.0001,01.01.1977
-,Rupelmonde,-,01.01.0001,01.04.1977
-,Sinaai,-,01.01.0001,08.02.1977
-,Sint-Gillis-Waas,-,01.01.0001,31.12.9999
Saint-Nicolas (Waes),Sint-Niklaas,Sint-Niklaas,01.01.0001,31.12.9999
-,Sint-Pauwels,-,01.01.0001,02.01.1977
-,Steendorp,-,01.01.0001,03.01.1977
-,Stekene,-,01.01.0001,31.12.9999
Tamise,Temse,Temse,01.01.0001,31.12.9999
-,Tielrode,-,01.01.0001,03.01.1977
-,Verrebroek,-,01.01.0001,03.01.1977
-,Vrasene,-,01.01.0001,03.01.1977
Pr.Hainaut,Pr.Henegouwen,Pr.Hennegau,01.01.0001,31.12.9999
Anvaing,-,-,01.01.0001,02.01.1977
Arbre (Hainaut),-,-,01.01.0001,02.03.1977
Arc-Ainières,-,-,01.01.0001,01.01.1971
Ath,Aat,-,01.01.0001,31.12.9999
Attre,-,-,01.01.0001,02.01.1977
Aubechies,-,-,01.01.0001,02.01.1977
Basècles,-,-,01.01.0001,02.01.1977
Beloeil,-,-,01.01.0001,31.12.9999
Bernissart,-,-,01.01.0001,31.12.9999
Blicquy,-,-,01.01.0001,02.01.1977
Bouvignies,-,-,01.01.0001,02.03.1977
Brugelette,-,-,01.01.0001,31.12.9999
Buissenal,-,-,01.01.0001,02.01.1977
Chièvres,-,-,01.01.0001,31.12.9999
Cordes,-,-,01.01.0001,02.01.1977
Dergneau,-,-,01.01.0001,02.01.1977
Ellezelles,Elzele,-,01.01.0001,31.12.9999
Ellignies-Sainte-Anne,-,-,01.01.0001,02.01.1977
Flobecq,Vloesberg,-,01.01.0001,31.12.9999
Forest (lez-Frasnes),-,-,01.01.0001,02.01.1977
Fouleng,-,-,01.01.0001,02.01.1977
Frasnes-lez-Buissenal,-,-,01.01.0001,02.01.1977
Gages,-,-,01.01.0001,02.01.1977
Ghislenghien,Gellingen,-,01.01.0001,02.03.1977
Gibecq,-,-,01.01.0001,02.03.1977
Gondregnies,-,-,01.01.0001,02.01.1977
Grandglise,-,-,01.01.0001,02.01.1965
Grosage,-,-,01.01.0001,03.01.1977
Hacquegnies,-,-,01.01.0001,02.01.1977
Harchies,-,-,01.01.0001,01.01.1965
Hellebecq,-,-,01.01.0001,02.01.1977
Herquegies,-,-,01.01.0001,02.01.1977
Houtaing,-,-,01.01.0001,02.03.1977
Huissignies,-,-,01.01.0001,03.01.1977
Irchonwelz,-,-,01.01.0001,02.03.1977
Isières,-,-,01.01.0001,02.03.1977
Ladeuze,-,-,01.01.0001,03.01.1977
Lahamaide,-,-,01.01.0001,02.01.1977
Lanquesaint,-,-,01.01.0001,02.03.1977
Maffle,-,-,01.01.0001,02.03.1977
Mainvault,-,-,01.01.0001,02.03.1977
Meslin-l'Evêque,-,-,01.01.0001,02.03.1977
Mévergnies-lez-Lens,-,-,01.01.0001,02.01.1977
Moulbaix,-,-,01.01.0001,02.03.1977
Moustier (lez-Frasnes),-,-,01.01.0001,02.01.1977
Oeudeghien,-,-,01.01.0001,02.01.1977
Ormeignies,-,-,01.01.0001,02.03.1977
Ostiches,-,-,01.01.0001,02.03.1977
Pommeroeul,-,-,01.01.0001,02.01.1977
Quevaucamps,-,-,01.01.0001,02.01.1977
Ramegnies,-,-,01.01.0001,02.01.1977
Rebaix,-,-,01.01.0001,02.03.1977
Saint-Sauveur,-,-,01.01.0001,02.01.1977
Stambruges,-,-,01.01.0001,02.01.1977
Thumaide,-,-,01.01.0001,02.01.1977
Tongre-Notre-Dame,-,-,01.01.0001,03.01.1977
Tongre-Saint-Martin,-,-,01.01.0001,01.01.1971
Tourpes,-,-,01.01.0001,02.01.1977
Ville-Pommeroeul,-,-,01.01.0001,01.01.1965
Villers-Notre-Dame,-,-,01.01.0001,02.03.1977
Villers-Saint-Amand,-,-,01.01.0001,02.03.1977
Wadelincourt,-,-,01.01.0001,02.01.1977
Wodecq,-,-,01.01.0001,02.01.1977
Arc-Wattripont,-,-,01.01.1971,02.01.1977
Frasnes-lez-Anvaing,-,-,02.01.1977,31.12.9999
Ellignies-lez-Frasnes,-,-,01.01.0001,23.07.1932
Acoz,-,-,01.01.0001,03.01.1977
Aiseau,-,-,01.01.0001,02.01.1977
Arquennes,-,-,01.01.0001,03.01.1977
Bellecourt,-,-,01.01.0001,02.01.1971
Boignée,-,-,01.01.0001,01.01.1977
Bois-d'Haine,-,-,01.01.0001,02.01.1977
Bouffioulx,-,-,01.01.0001,02.01.1977
Brye,-,-,01.01.0001,01.01.1977
Buzet,-,-,01.01.0001,02.01.1977
Chapelle-lez-Herlaimont,-,-,01.01.0001,31.12.9999
Charleroi,-,-,01.01.0001,31.12.9999
Châtelet,-,-,01.01.0001,31.12.9999
Châtelineau,-,-,01.01.0001,02.01.1977
Couillet,-,-,01.01.0001,07.01.1977
Courcelles,-,-,01.01.0001,31.12.9999
Dampremy,-,-,01.01.0001,07.01.1977
Familleureux,-,-,01.01.0001,03.01.1977
Farciennes,-,-,01.01.0001,31.12.9999
Fayt-lez-Manage,-,-,01.01.0001,02.01.1977
Feluy,-,-,01.01.0001,03.01.1977
Fleurus,-,-,01.01.0001,31.12.9999
Fontaine-l'Evêque,-,-,01.01.0001,31.12.9999
Forchies-la-Marche,-,-,01.01.0001,02.01.1977
Frasnes-lez-Gosselies,-,-,01.01.0001,02.01.1977
Gerpinnes,-,-,01.01.0001,31.12.9999
Gilly,-,-,01.01.0001,07.01.1977
Godarville,-,-,01.01.0001,03.01.1977
Gosselies,-,-,01.01.0001,07.01.1977
Gougnies,-,-,01.01.0001,03.01.1977
Goutroux,-,-,01.01.0001,07.01.1977
Gouy-lez-Piéton,-,-,01.01.0001,02.01.1977
Heppignies,-,-,01.01.0001,01.01.1977
Joncret,-,-,01.01.0001,03.01.1977
Jumet,-,-,01.01.0001,07.01.1977
La Hestre,-,-,01.01.0001,02.01.1977
Lambusart,-,-,01.01.0001,01.01.1977
Landelies,-,-,01.01.0001,02.01.1977
Leernes,-,-,01.01.0001,02.01.1977
Liberchies,-,-,01.01.0001,01.01.1965
Lodelinsart,-,-,01.01.0001,07.01.1977
Loverval,-,-,01.01.0001,03.01.1977
Luttre,-,-,01.01.0001,02.01.1977
Manage,-,-,01.01.0001,31.12.2018
Marchienne-au-Pont,-,-,01.01.0001,07.01.1977
Marcinelle,-,-,01.01.0001,07.01.1977
Mellet,-,-,01.01.0001,02.01.1977
Monceau-sur-Sambre,-,-,01.01.0001,07.01.1977
Montigny-le-Tilleul,-,-,01.01.0001,31.12.9999
Montignies-sur-Sambre,-,-,01.01.0001,07.01.1977
Mont-sur-Marchienne,-,-,01.01.0001,07.01.1977
Obaix,-,-,01.01.0001,02.01.1977
Petit-Roeulx-lez-Nivelles,-,-,01.01.0001,03.01.1977
Piéton,-,-,01.01.0001,03.01.1977
Pironchamps,-,-,01.01.0001,01.01.1977
Pont-à-Celles,-,-,01.01.0001,31.12.9999
Pont-de-Loup,-,-,01.01.0001,02.01.1977
Presles,-,-,01.01.0001,02.01.1977
Ransart,-,-,01.01.0001,07.01.1977
Rèves,-,-,01.01.0001,02.01.1977
Roselies,-,-,01.01.0001,02.01.1977
Roux,-,-,01.01.0001,07.01.1977
Saint-Amand,-,-,01.01.0001,01.01.1977
Seneffe,-,-,01.01.0001,31.12.2018
Souvret,-,-,01.01.0001,02.01.1977
Thiméon,-,-,01.01.0001,02.01.1977
Trazegnies,-,-,01.01.0001,02.01.1977
Viesville,-,-,01.01.0001,02.01.1977
Villers-Perwin,-,-,01.01.0001,02.01.1977
Villers-Poterie,-,-,01.01.0001,03.01.1977
Wagnelée,-,-,01.01.0001,01.01.1977
Wanfercée-Baulet,-,-,01.01.0001,01.01.1977
Wangenies,-,-,01.01.0001,01.01.1977
Wayaux,-,-,01.01.0001,02.01.1977
Aiseau-Presles,-,-,02.01.1977,31.12.9999
Les Bons Villers,-,-,02.01.1977,31.12.9999
Charleroi(D 1),Charleroi(D 1),Charleroi(D 1),01.01.0001,31.12.9999
Charleroi(D 2),-,-,01.01.0001,31.12.9999
Charleroi(D 3),-,-,01.01.0001,31.12.9999
Charleroi(D 4),-,-,01.01.0001,31.12.9999
Charleroi(D 5),-,-,01.01.0001,31.12.9999
Charleroi(D 6),-,-,01.01.0001,31.12.9999
Charleroi(D 7),-,-,01.01.0001,31.12.9999
La Louvière (Dis. 1),-,-,01.01.0001,31.12.9999
La Louvière (Dis. 2),-,-,01.01.0001,31.12.9999
La Louvière (Dis. 3),-,-,01.01.0001,31.12.9999
La Louvière (Dis. 4),-,-,01.01.0001,31.12.9999
La Louvière (Dis. 5),-,-,01.01.0001,31.12.9999
Angre,-,-,01.01.0001,02.01.1977
Angreau,-,-,01.01.0001,02.01.1977
Asquillies,-,-,01.01.0001,02.01.1977
Athis,-,-,01.01.0001,02.01.1977
Audregnies,-,-,01.01.0001,02.01.1977
Aulnois,-,-,01.01.0001,02.01.1977
Autreppe,-,-,01.01.0001,02.01.1977
Baisieux,-,-,01.01.0001,02.01.1977
Baudour,-,-,01.01.0001,02.01.1977
Bauffe,-,-,01.01.0001,03.01.1977
Blaregnies,-,-,01.01.0001,02.01.1977
Blaugies,-,-,01.01.0001,02.01.1977
Bougnies,-,-,01.01.0001,02.01.1977
Boussu,-,-,01.01.0001,31.12.9999
Cambron-Casteau,-,-,01.01.0001,02.01.1977
Cambron-Saint-Vincent,-,-,01.01.0001,03.01.1977
Chaussée-Notre-Dame-Louvignies,-,-,01.01.0001,01.01.1977
Ciply,-,-,01.01.0001,01.01.1977
Cuesmes,-,-,01.01.0001,01.01.1972
Dour,-,-,01.01.0001,31.12.9999
Elouges,-,-,01.01.0001,02.01.1977
Erbaut,-,-,01.01.0001,01.01.1977
Erbisoeul,-,-,01.01.0001,01.01.1977
Erquennes,-,-,01.01.0001,02.01.1977
Eugies,-,-,01.01.0001,02.01.1977
Fayt-le-Franc,-,-,01.01.0001,02.01.1977
Flénu,-,-,01.01.0001,24.09.1971
Frameries,-,-,01.01.0001,31.12.9999
Genly,-,-,01.01.0001,02.01.1977
Ghlin,-,-,01.01.0001,01.01.1972
Givry,-,-,01.01.0001,02.01.1977
Goegnies-Chaussée,-,-,01.01.0001,02.01.1977
Hainin,-,-,01.01.0001,02.01.1977
Harmignies,-,-,01.01.0001,01.01.1977
Harveng,-,-,01.01.0001,01.01.1977
Hautrage,-,-,01.01.0001,02.01.1977
Havay,-,-,01.01.0001,02.01.1977
Havré,-,-,01.01.0001,01.01.1977
Hensies,-,-,01.01.0001,31.12.9999
Herchies,-,-,01.01.0001,01.01.1977
Hornu,-,-,01.01.0001,02.01.1977
Hyon,-,-,01.01.0001,01.01.1972
Jemappes,-,-,01.01.0001,01.01.1977
Jurbise,Jurbeke,-,01.01.0001,31.12.9999
La Bouverie,-,-,01.01.0001,02.01.1977
Lens (Hainaut),-,-,01.01.0001,31.12.9999
Lombise,-,-,01.01.0001,03.01.1977
Maisières,-,-,01.01.0001,01.01.1977
Marchipont,-,-,01.01.0001,02.01.1977
Masnuy-Saint-Jean,-,-,01.01.0001,01.01.1977
Masnuy-Saint-Pierre,-,-,01.01.0001,01.01.1977
Mesvin,-,-,01.01.0001,01.01.1977
Mons,Bergen,-,01.01.0001,31.12.9999
Montignies-lez-Lens,-,-,01.01.0001,03.01.1977
Montignies-sur-Roc,-,-,01.01.0001,02.01.1977
Montroeul-sur-Haine,-,-,01.01.0001,02.01.1977
Neufmaison,-,-,01.01.0001,02.01.1977
Neufvilles,-,-,01.01.0001,01.01.1977
Nimy,-,-,01.01.0001,01.01.1972
Noirchain,-,-,01.01.0001,02.01.1977
Nouvelles,-,-,01.01.0001,01.01.1977
Obourg,-,-,01.01.0001,01.01.1972
Onnezies,-,-,01.01.0001,02.01.1977
Pâturages,-,-,01.01.0001,02.01.1977
Quaregnon,-,-,01.01.0001,31.12.9999
Quévy-le-Grand,-,-,01.01.0001,02.01.1977
Quévy-le-Petit,-,-,01.01.0001,02.01.1977
Quiévrain,-,-,01.01.0001,31.12.9999
Roisin,-,-,01.01.0001,02.01.1977
Saint-Ghislain,-,-,01.01.0001,31.12.9999
Saint-Symphorien,-,-,01.01.0001,01.01.1977
Sars-la-Bruyère,-,-,01.01.0001,02.01.1977
Sirault,-,-,01.01.0001,02.01.1977
Spiennes,-,-,01.01.0001,01.01.1977
Tertre,-,-,01.01.0001,02.01.1977
Thulin,-,-,01.01.0001,02.01.1977
Villerot,-,-,01.01.0001,02.01.1977
Warquignies,-,-,01.01.0001,02.01.1977
Wasmes,-,-,01.01.0001,02.01.1977
Wasmuel,-,-,01.01.0001,03.01.1977
Wihéries,-,-,01.01.0001,02.01.1977
Colfontaine,-,-,02.01.1977,31.12.9999
Honnelles,-,-,02.01.1977,31.12.9999
Quévy,-,-,02.01.1977,31.12.9999
Bas-Warneton,Neerwaasten,-,01.01.0001,03.01.1977
Comines,Komen,-,01.01.0001,17.07.1982
Dottignies,Dottenijs,-,01.01.0001,01.01.1977
Herseaux,-,-,01.01.0001,01.01.1977
Houthem,-,-,01.01.0001,03.01.1977
Luingne,-,-,01.01.0001,01.01.1977
Mouscron,Moeskroen,-,01.01.0001,31.12.2018
Ploegsteert,-,-,01.01.0001,03.01.1977
Warneton,Waasten,-,01.01.0001,03.01.1977
Comines-Warneton,Komen-Waasten,-,17.07.1982,31.12.2018
Bassilly,Zullik,-,01.01.0001,02.01.1977
Bois-de-Lessines,Lessenbos,-,01.01.0001,02.01.1977
Boussoit,-,-,01.01.0001,02.01.1977
Braine-le-Comte,s Gravenbrakel,-,01.01.0001,31.12.9999
Bray,-,-,01.01.0001,01.01.1977
Casteau,-,-,01.01.0001,01.01.1977
Deux-Acren,Twee-Akren,-,01.01.0001,02.01.1977
Ecaussinnes-d'Enghien,-,-,01.01.0001,03.01.1977
Ecaussinnes-Lalaing,-,-,01.01.0001,03.01.1977
Enghien,Edingen,-,01.01.0001,31.12.2018
Estinnes-au-Val,-,-,01.01.0001,02.01.1977
Ghoy,-,-,01.01.0001,02.01.1977
Gottignies,-,-,01.01.0001,02.01.1965
Graty,-,-,01.01.0001,02.01.1977
Haine-Saint-Paul,-,-,01.01.0001,02.01.1977
Hennuyères,-,-,01.01.0001,01.01.1977
Henripont,-,-,01.01.0001,01.01.1977
Horrues,-,-,01.01.0001,01.01.1977
Houdeng-Aimeries,-,-,01.01.0001,02.01.1977
Houdeng-Goegnies,-,-,01.01.0001,02.01.1977
Hoves,Hove,-,01.01.0001,02.01.1977
La Louvière,-,-,01.01.0001,31.12.2018
Lessines,Lessen,-,01.01.0001,31.12.2018
Marche-lez-Ecaussinnes,-,-,01.01.0001,03.01.1977
Marcq,Mark,-,01.01.0001,02.01.1977
Maurage,-,-,01.01.0001,02.01.1977
Mignault,-,-,01.01.0001,03.01.1977
Naast,-,-,01.01.0001,01.01.1977
Ogy,-,-,01.01.0001,02.01.1977
Ollignies,Woelingen,-,01.01.0001,02.01.1977
Papignies,Papegem,-,01.01.0001,02.01.1977
Péronnes (lez-Binche),-,-,01.01.0001,01.01.1977
Petit-Enghien,Lettelingen,-,01.01.0001,02.01.1977
Petit-Roeulx-lez-Braine,-,-,01.01.0001,01.01.1977
Le Roeulx,-,-,01.01.0001,31.12.9999
Ronquières,-,-,01.01.0001,01.01.1977
Saint-Denis,-,-,01.01.0001,01.01.1965
Saint-Vaast,-,-,01.01.0001,02.01.1977
Silly,Opzullik,-,01.01.0001,31.12.2018
Soignies,Zinnik,-,01.01.0001,31.12.9999
Steenkerque,Steenkerke,-,01.01.0001,01.01.1977
Strépy-Bracquegnies,-,-,01.01.0001,02.01.1977
Thieu,-,-,01.01.0001,03.01.1977
Thieusies,-,-,01.01.0001,01.01.1977
Thoricourt,-,-,01.01.0001,02.01.1977
Trivières,-,-,01.01.0001,02.01.1977
Vellereille-le-Sec,-,-,01.01.0001,02.01.1977
Villers-Saint-Ghislain,-,-,01.01.0001,01.01.1977
Ville-sur-Haine,-,-,01.01.0001,03.01.1977
Ecaussinnes,-,-,03.01.1977,31.12.9999
Wannebecq,-,-,01.01.0001,01.01.1965
Anderlues,-,-,01.01.0001,31.12.9999
Baileux,-,-,01.01.0001,26.02.1977
Bailièvre,-,-,01.01.0001,26.02.1977
Barbençon,-,-,01.01.0001,02.01.1977
Beaumont,-,-,01.01.0001,31.12.9999
Beauwelz,-,-,01.01.0001,03.01.1977
Bersillies-l'Abbaye,-,-,01.01.0001,02.01.1977
Bienne-lez-Happart,-,-,01.01.0001,02.01.1977
Biercée,-,-,01.01.0001,01.01.1977
Biesme-sous-Thuin,-,-,01.01.0001,01.01.1977
Binche,-,-,01.01.0001,31.12.2018
Bourlers,-,-,01.01.0001,26.02.1977
Boussu-lez-Walcourt,-,-,01.01.0001,02.01.1977
Buvrinnes,-,-,01.01.0001,01.01.1977
Carnières,-,-,01.01.0001,02.01.1977
Chimay,-,-,01.01.0001,31.12.9999
Cour-sur-Heure,-,-,01.01.0001,03.01.1977
Croix-lez-Rouveroy,-,-,01.01.0001,02.01.1977
Donstiennes,-,-,01.01.0001,01.01.1977
Epinois,-,-,01.01.0001,01.01.1977
Erpion,-,-,01.01.0001,02.01.1977
Erquelinnes,-,-,01.01.0001,31.12.9999
Estinnes-au-Mont,-,-,01.01.0001,02.01.1977
Fauroeulx,-,-,01.01.0001,02.01.1977
Fontaine-Valmont,-,-,01.01.0001,03.01.1977
Forge-Philippe,-,-,01.01.0001,03.01.1977
Forges,-,-,01.01.0001,26.02.1977
Fourbechies,-,-,01.01.0001,01.01.1965
Froidchapelle,-,-,01.01.0001,31.12.9999
Gozée,-,-,01.01.0001,01.01.1977
Grand-Reng,-,-,01.01.0001,02.01.1977
Grandrieu,-,-,01.01.0001,02.01.1977
Haine-Saint-Pierre,-,-,01.01.0001,02.01.1977
Ham-sur-Heure,-,-,01.01.0001,03.01.1977
Hantes-Wihéries,-,-,01.01.0001,02.01.1977
Haulchin,-,-,01.01.0001,02.01.1977
Jamioulx,-,-,01.01.0001,03.01.1977
Labuissière,-,-,01.01.0001,03.01.1977
Leers-et-Fosteau,-,-,01.01.0001,01.01.1977
L'Escaillère,-,-,01.01.0001,26.02.1977
Leugnies,-,-,01.01.0001,02.01.1977
Leval-Chaudeville,-,-,01.01.0001,02.01.1977
Leval-Trahegnies,-,-,01.01.0001,01.01.1977
Lobbes,-,-,01.01.0001,31.12.9999
Lompret,-,-,01.01.0001,26.02.1977
Macon,-,-,01.01.0001,03.01.1977
Macquenoise,-,-,01.01.0001,03.01.1977
Marbaix,-,-,01.01.0001,03.01.1977
Merbes-le-Château,-,-,01.01.0001,31.12.9999
Merbes-Sainte-Marie,-,-,01.01.0001,03.01.1977
Momignies,-,-,01.01.0001,31.12.9999
Monceau-Imbrechies,-,-,01.01.0001,03.01.1977
Montbliart,-,-,01.01.0001,02.01.1977
Montignies-Saint-Christophe,-,-,01.01.0001,02.01.1977
Mont-Sainte-Aldegonde,-,-,01.01.0001,02.01.1977
Mont-Sainte-Geneviève,-,-,01.01.0001,02.01.1977
Morlanwelz-Mariemont,-,-,01.01.0001,02.01.1977
Nalinnes,-,-,01.01.0001,03.01.1977
Peissant,-,-,01.01.0001,02.01.1977
Ragnies,-,-,01.01.0001,01.01.1977
Rance,-,-,01.01.0001,02.01.1977
Renlies,-,-,01.01.0001,02.01.1977
Ressaix,-,-,01.01.0001,01.01.1977
Rièzes,-,-,01.01.0001,26.02.1977
Robechies,-,-,01.01.0001,26.02.1977
Rouveroy,-,-,01.01.0001,02.01.1977
Saint-Remy (Hainaut),-,-,01.01.0001,26.02.1977
Salles,-,-,01.01.0001,26.02.1977
Sars-la-Buissière,-,-,01.01.0001,02.01.1977
Sautin,-,-,01.01.0001,02.01.1977
Seloignes,-,-,01.01.0001,03.01.1977
Sivry,-,-,01.01.0001,02.01.1977
Solre-Saint-Géry,-,-,01.01.0001,02.01.1977
Solre-sur-Sambre,-,-,01.01.0001,02.01.1977
Strée (Hainaut),-,-,01.01.0001,02.01.1977
Thirimont,-,-,01.01.0001,02.01.1977
Thuillies,-,-,01.01.0001,01.01.1977
Thuin,-,-,01.01.0001,31.12.9999
Vaulx (lez-Chimay),-,-,01.01.0001,26.02.1977
Vellereille-les-Brayeux,-,-,01.01.0001,02.01.1977
Vergnies,-,-,01.01.0001,02.01.1977
Villers-la-Tour,-,-,01.01.0001,26.02.1977
Virelles,-,-,01.01.0001,26.02.1977
Waudrez,-,-,01.01.0001,01.01.1977
Estinnes,-,-,02.01.1977,31.12.2018
Ham-sur-Heure-Nalinnes,-,-,03.01.1977,31.12.9999
Morlanwelz,-,-,01.01.0001,31.12.2018
Sivry-Rance,-,-,02.01.1977,31.12.9999
Battignies,-,-,01.01.0001,01.01.1900
Amougies,-,-,01.01.0001,02.01.1977
Anseroeul,-,-,01.01.0001,02.01.1977
Antoing,-,-,01.01.0001,31.12.9999
Bailleul,-,-,01.01.0001,02.01.1977
Barry,-,-,01.01.0001,07.04.1977
Baugnies,-,-,01.01.0001,02.01.1977
Beclers,-,-,01.01.0001,07.04.1977
Blandain,-,-,01.01.0001,07.04.1977
Blaton,-,-,01.01.0001,02.01.1977
Bléharies,-,-,01.01.0001,01.01.1977
Bon-Secours,-,-,01.01.0001,02.01.1977
Braffe,-,-,01.01.0001,02.01.1977
Brasmenil,-,-,01.01.0001,02.01.1977
Bruyelle,-,-,01.01.0001,02.01.1977
Bury,-,-,01.01.0001,02.01.1977
Callenelle,-,-,01.01.0001,02.01.1977
Calonne,-,-,01.01.0001,02.01.1977
Celles (lez-Tournai),-,-,01.01.0001,31.12.9999
Chapelle-^-Oie,-,-,01.01.0001,02.01.1977
Chapelle-^-Wattines,-,-,01.01.0001,02.01.1977
Chercq,-,-,01.01.0001,07.04.1977
Ere,-,-,01.01.0001,07.04.1977
Escanaffles,-,-,01.01.0001,02.01.1977
Esplechin,-,-,01.01.0001,07.04.1977
Esquelmes,-,-,01.01.0001,02.01.1977
Estaimbourg,-,-,01.01.0001,02.01.1977
Estaimpuis,-,-,01.01.0001,31.12.9999
Evregnies,-,-,01.01.0001,02.01.1977
Fontenoy,-,-,01.01.0001,02.01.1977
Froidmont,-,-,01.01.0001,07.04.1977
Froyennes,-,-,01.01.0001,07.04.1977
Gallaix,-,-,01.01.0001,02.01.1977
Gaurain-Ramecroix,-,-,01.01.0001,07.04.1977
Grandmetz,-,-,01.01.0001,02.01.1977
Guignies,-,-,01.01.0001,01.01.1977
Havinnes,-,-,01.01.0001,07.04.1977
Hérinnes,-,-,01.01.0001,02.01.1977
Hertain,-,-,01.01.0001,07.04.1977
Hollain,-,-,01.01.0001,01.01.1977
Howardries,-,-,01.01.0001,01.01.1977
Jollain-Merlin,-,-,01.01.0001,01.01.1977
Kain,-,-,01.01.0001,07.04.1977
La Glanerie,-,-,01.01.0001,03.01.1977
Lamain,-,-,01.01.0001,07.04.1977
Laplaigne,-,-,01.01.0001,01.01.1977
