City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2,Cluster Labels
Brasschaat,Gemeentepark,51.28800847009844,4.492712299745317,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,parks_outdoors,parks_outdoors park_,3
Brasschaat,Park Brasschaat,51.28805631969834,4.4958926415283935,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_,Park,parks_outdoors,parks_outdoors park_,3
Brasschaat,Sam's,51.29006874266807,4.49651527897551,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_,3
Brasschaat,Corbello,51.28869405704675,4.488833816425422,https://ss3.4sqi.net/img/categories_v2/shops/food_gourmet_,Gourmet Shop,shops,shops food_gourmet_,3
Brasschaat,Chopin,51.29101102418993,4.492839494633333,https://ss3.4sqi.net/img/categories_v2/food/gastropub_,Gastropub,food,food gastropub_,3
Brasschaat,Manus,51.29427884115389,4.495962888920434,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_,3
Brasschaat,ICI PARIS XL,51.2891601067429,4.489636325432525,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics Shop,shops,shops beauty_cosmetic_,3
Brasschaat,l' antipasto,51.289374844010496,4.488660846195425,https://ss3.4sqi.net/img/categories_v2/food/tapas_,Tapas Restaurant,food,food tapas_,3
Brasschaat,Kasteel van Brasschaat,51.28853263904266,4.497901688454278,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_,Castle,parks_outdoors,parks_outdoors beach_,3
Brasschaat,Bacchus,51.290160267758814,4.498892441565705,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,nightlife,nightlife pub_,3
Brasschaat,bakkerij van opstal - boxel,51.292473641178894,4.494495712725197,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_,3
Brasschaat,Noël et moi,51.28999412251903,4.491461831466782,https://ss3.4sqi.net/img/categories_v2/food/tearoom_,Tea Room,food,food tearoom_,3
Brasschaat,Brasserie Excelsior,51.289661528510855,4.4920035671924765,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,food,food default_,3
Brasschaat,Kruidvat,51.28932150965814,4.4901416090868445,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics Shop,shops,shops beauty_cosmetic_,3
Brasschaat,Ramones Tapas Bar,51.28886124923685,4.489361972710637,https://ss3.4sqi.net/img/categories_v2/food/snacks_,Snack Place,food,food snacks_,3
Brasschaat,De Roode Leeuw,51.29003945532296,4.491361572344174,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant,food,food default_,3
Brasschaat,De Vreemde Vogel,51.28781551081436,4.486971624983453,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,nightlife,nightlife pub_,3
Brasschaat,Brasschaat Markt,51.29045630746845,4.4928709131926,https://ss3.4sqi.net/img/categories_v2/shops/market_,Market,shops,shops market_,3
Brasschaat,De Lichte Lunch,51.29329238934184,4.494934502719971,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_,3
Brasschaat,Uptown,51.290435235272795,4.4910175236022045,https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_,Nightclub,nightlife,nightlife nightclub_,3
Brasschaat,Colruyt,51.2895219240529,4.485212351590842,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_,3
Brasschaat,Tom & Co,51.288768772824895,4.485731536026786,https://ss3.4sqi.net/img/categories_v2/shops/pet_store_,Pet Store,shops,shops pet_store_,3
Brasschaat,Delhaize,51.2885442389297,4.4882109209862,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_,3
Brasschaat,HEMA,51.289517907380635,4.490448607935493,https://ss3.4sqi.net/img/categories_v2/shops/departmentstore_,Department Store,shops,shops departmentstore_,3
