ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
550,Lo-Reninge,3291,56.0,62.94,52,92.1,West-Vlaanderen,50.9638066,2.7643391,"['50.9013904', '51.0170019', '2.6963805', '2.856549']",-,Lo-Reninge,-,23.02.1977,31.12.9999,Lo-Reninge,0,Bar,Notary,Brewery,Bus Stop,Pharmacy
552,Onhaye,3241,93.0,65.53,49,93.6,Namen,50.2435657,4.840864,"['50.214696', '50.3111173', '4.7360267', '4.8937537']",Onhaye,-,-,01.01.0001,31.12.9999,Onhaye,4,Fast Food Restaurant,Friterie,Bakery,Supermarket,Soccer Field
553,Burdinne,3238,101.0,32.57,99,109.5,Luik,50.5812607,5.072436,"['50.5552451', '50.608095', '5.027859', '5.1669208']",Burdinne,-,-,01.01.0001,31.12.9999,Burdinne,3,Tourist Information Center,Gay Bar,Soccer Field,Playground,Zoo
554,Fexhe-le-Haut-Clocher,3233,229.0,19.25,168,111.8,Luik,50.6640876,5.3988979000000015,"['50.6392849', '50.6918017', '5.3482158', '5.440566']",Fexhe-le-Haut-Clocher,-,-,01.01.0001,31.12.9999,Fexhe-le-Haut-Clocher,3,Food,Train Station,Friterie,Insurance Office,Zoo
555,Stoumont,3167,81.0,108.45,29,103.7,Luik,50.40695039999999,5.80836,"['50.35625', '50.4642046', '5.6700851', '5.9309101']",Stoumont,-,-,01.01.0001,31.12.9999,Stoumont,2,Rafting,Bakery,Bed & Breakfast,Golf Course,Hotel
556,Berloz,3132,202.0,14.49,216,108.8,Luik,50.6977331,5.2146261,"['50.6835696', '50.723727', '5.1650784', '5.2353501']",Berloz,-,-,01.01.0001,31.12.9999,Berloz,2,Bakery,Athletics & Sports,Farm,Zoo,Food & Drink Shop
557,Wellin,3093,151.0,67.52,46,90.0,Luxemburg,50.0822967,5.1146708,"['50.0159061', '50.1230465', '5.011381', '5.178179']",Wellin,-,-,01.01.0001,31.12.9999,Wellin,4,Supermarket,Brewery,Restaurant,Bakery,Flower Shop
558,Donceel,3060,166.0,23.31,131,117.9,Luik,50.6478971,5.3199408,"['50.6252332', '50.6752185', '5.2809354', '5.3764618']",Donceel,-,-,01.01.0001,31.12.9999,Donceel,3,Convenience Store,Sports Club,Construction & Landscaping,Print Shop,Electronics Store
559,Doische,2997,100.0,84.02,36,85.9,Namen,50.1357152,4.7458219,"['50.09183', '50.2099841', '4.583007', '4.7995471']",Doische,-,-,01.01.0001,31.12.9999,Doische,4,Castle,Harbor / Marina,Supermarket,Climbing Gym,Food & Drink Shop
560,Wasseiges,2937,99.0,24.45,120,98.7,Luik,50.6210088,5.006907,"['50.5879719', '50.6465153', '4.9794305', '5.0618115']",Wasseiges,-,-,01.01.0001,31.12.9999,Wasseiges,0,Bar,Friterie,Bakery,Restaurant,Bookstore
561,Tenneville,2832,119.0,91.81,31,97.8,Luxemburg,50.091248,5.5242133,"['50.0477579', '50.1517225', '5.389167', '5.597304']",Tenneville,-,-,01.01.0001,31.12.9999,Tenneville,2,Bakery,Friterie,Construction & Landscaping,Vacation Rental,Zoo
562,Meix-devant-Virton,2809,77.0,54.2,52,95.4,Luxemburg,49.6055933,5.4816156,"['49.5637153', '49.6397398', '5.3752213', '5.5331264']",Meix-devant-Virton,-,-,01.01.0001,31.12.9999,Meix-devant-Virton,3,Brewery,Sports Club,Restaurant,Soccer Field,Zoo
563,Ouffet,2776,160.0,40.22,69,98.3,Luik,50.4377341,5.4653273,"['50.407621', '50.4826969', '5.383756', '5.5368484']",Ouffet,-,-,01.01.0001,31.12.9999,Ouffet,4,Supermarket,Bar,French Restaurant,Snack Place,Food & Drink Shop
564,Baarle-Hertog,2760,274.0,7.48,369,87.9,Antwerpen,51.4383589,4.9316995000000015,"['51.392824', '51.45563', '4.8357449', '4.952758']",Baerle-Duc,Baarle-Hertog,Baarle-Hertog,01.01.0001,31.12.9999,Baarle-Hertog,3,Supermarket,Friterie,Bar,Restaurant,Sandwich Place
