ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
1,Antwerpen,525935,443.0,204.51,2572,88.2,Antwerpen,51.2211097,4.3997081,"['51.1432868', '51.3776412', '4.2175769', '4.4979684']",Anvers,Antwerpen,Antwerpen,01.01.0001,31.12.9999,Antwerpen,3,Coffee Shop,Clothing Store,Cocktail Bar,Belgian Restaurant,Plaza
2,Gent,262219,204.0,156.18,1679,102.3,Oost-Vlaanderen,51.0538286,3.7250121,"['50.9795422', '51.187946', '3.5797616', '3.849325']",Gand,Gent,Gent,01.01.0001,31.12.9999,Gent,3,Coffee Shop,Plaza,Breakfast Spot,Bar,Bistro
3,Charleroi,202267,370.0,102.08,1982,73.0,Henegouwen,50.4120332,4.443624400000001,"['50.3527894', '50.4925149', '4.3474458', '4.5075571']",Charleroi,-,-,01.01.0001,31.12.9999,Charleroi,3,Italian Restaurant,Restaurant,Brewery,Clothing Store,Bar
4,Luik,197327,219.0,69.39,2844,81.4,Luik,50.6451381,5.5734203,"['50.5610182', '50.6881981', '5.5233883', '5.675257']",Liège,Luik,Lüttich,01.01.0001,31.12.9999,Liège,3,Restaurant,Italian Restaurant,Bar,Coffee Shop,French Restaurant
5,Brussel,181726,140.0,32.61,5573,70.0,Brussel,50.8465573,4.351697,"['50.6865573', '51.0065573', '4.191697', '4.511697']",Bruxelles,Brussel,-,01.01.0001,31.12.9999,Brussel#Bruxelles,3,Bar,Seafood Restaurant,Belgian Restaurant,Plaza,French Restaurant
6,Schaarbeek,133309,2.146,8.14,16377,65.4,Brussel,50.8676041,4.3737121,"['50.8434069', '50.8811977', '4.3571322', '4.4130849']",Schaerbeek,Schaarbeek,-,01.01.0001,31.12.9999,Schaarbeek#Schaerbeek,3,Turkish Restaurant,Snack Place,Bar,Pizza Place,Electronics Store
7,Anderlecht,119714,2.007,17.74,6747,63.8,Brussel,50.8390983,4.3296526,"['50.8070598', '50.850549', '4.2437658', '4.3402385']",Anderlecht,Anderlecht,-,01.01.0001,31.12.9999,Anderlecht,0,Bar,Supermarket,Sandwich Place,Italian Restaurant,Sports Bar
8,Brugge,118325,194.0,138.4,855,111.7,West-Vlaanderen,51.2085526,3.226772,"['51.1581918', '51.363347', '3.1341802', '3.309804']",Bruges,Brugge,Brügge,01.01.0001,31.12.9999,Brugge,3,Beer Bar,Hotel,Wine Bar,Bar,Chocolate Shop
9,Namen,110779,260.0,175.69,631,99.9,Namen,50.4665284,4.8661892,"['50.3872825', '50.5313007', '4.723053', '4.9841776']",Namur,Namen,-,01.01.0001,31.12.9999,Namur,3,Bar,French Restaurant,Plaza,Hotel,Bakery
10,Leuven,101624,288.0,56.63,1794,113.6,Vlaams-Brabant,50.879202,4.7011675,"['50.8242096', '50.9440707', '4.640295', '4.7705305']",Louvain,Leuven,Löwen,01.01.0001,31.12.9999,Leuven,0,Bar,Coffee Shop,Italian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant
11,Sint-Jans-Molenbeek,97462,808.0,5.89,16542,57.1,Brussel,50.8545959,4.338636,"['50.844035', '50.8714317', '4.2831135', '4.3487272']",Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,-,01.01.0001,31.12.9999,Sint-Jans-Molenbeek,4,Supermarket,Bar,Greek Restaurant,Snack Place,Grocery Store
12,Bergen,95613,183.0,146.53,653,88.1,Henegouwen,50.4549568,3.951958,"['50.3777531', '50.5138107', '3.8547797', '4.085104']",Mons,Bergen,-,01.01.0001,31.12.9999,Mons,3,Bar,French Restaurant,Supermarket,Restaurant,Bistro
13,Elsene,86876,610.0,6.34,13693,89.7,Brussel,50.8331141,4.3668279000000005,"['50.8009321', '50.8406267', '4.3479344', '4.4034045']",Ixelles,Elsene,-,01.01.0001,31.12.9999,Elsene#Ixelles,3,Italian Restaurant,Hotel,Bar,Clothing Store,Boutique
14,Mechelen,86616,235.0,65.19,1329,104.8,Antwerpen,51.0281381,4.4803453,"['50.9909709', '51.0785768', '4.3700927', '4.549039']",Malines,Mechelen,Mechelen,01.01.0001,31.12.9999,Mechelen,3,Coffee Shop,Bar,Breakfast Spot,Plaza,Burger Joint
15,Aalst,86445,263.0,78.12,1107,107.6,Oost-Vlaanderen,50.9383226,4.0392147000000005,"['50.8993828', '50.9948309', '3.9824469', '4.1641424']",Alost,Aalst,Aalst,01.01.0001,31.12.9999,Aalst,0,Bar,Coffee Shop,Clothing Store,Belgian Restaurant,Bistro
16,Ukkel,83024,1.3030000000000002,22.91,3624,112.9,Brussel,50.8035441,4.3338445,"['50.763682', '50.8169786', '4.3110983', '4.4128924']",Uccle,Ukkel,-,01.01.0001,31.12.9999,Ukkel#Uccle,3,French Restaurant,Supermarket,Bakery,Plaza,Park
17,La Louvière,80757,483.0,64.24,1257,79.8,Henegouwen,50.479487,4.1852682,"['50.4332671', '50.5249551', '4.0699218', '4.2299745']",La Louvière,-,-,01.01.2019,31.12.9999,La Louvière,3,Italian Restaurant,Plaza,Bar,Pet Store,Electronics Store
18,Hasselt,78296,514.0,102.24,766,113.2,Limburg,50.9303735,5.3378043,"['50.8675553', '50.981282', '5.2121524', '5.4149391']",-,Hasselt,-,01.01.0001,31.12.9999,Hasselt,3,Italian Restaurant,Coffee Shop,Bistro,Cosmetics Shop,Wine Bar
19,Sint-Niklaas,77769,259.0,83.8,927,99.3,Oost-Vlaanderen,51.1646685,4.139512399999999,"['51.1296079', '51.2078094', '3.9853092', '4.2216963']",Saint-Nicolas (Waes),Sint-Niklaas,Sint-Niklaas,01.01.0001,31.12.9999,Sint-Niklaas,3,Bakery,Friterie,Bar,Italian Restaurant,Restaurant
20,Kortrijk,76735,218.0,80.02,959,104.5,West-Vlaanderen,50.8276429,3.2659884,"['50.7310386', '50.874934', '3.2007586', '3.3588007']",Courtrai,Kortrijk,Kortrijk,01.01.0001,31.12.9999,Kortrijk,3,Bar,Coffee Shop,Hotel,Cocktail Bar,Italian Restaurant
21,Oostende,71494,446.0,37.72,1895,100.3,West-Vlaanderen,51.2258565,2.919496,"['51.1846337', '51.2455721', '2.8386276', '3.0035408']",Ostende,Oostende,Oostende,01.01.0001,31.12.9999,Oostende,3,Bakery,Bus Stop,Sandwich Place,Furniture / Home Store,Notary
22,Doornik,69370,106.0,213.75,325,94.8,Henegouwen,50.60566,3.3878259,"['50.5523575', '50.6887918', '3.2440216', '3.5769352']",Tournai,Doornik,-,01.01.0001,31.12.9999,Tournai,3,Bar,French Restaurant,Italian Restaurant,Sandwich Place,Friterie
23,Genk,66227,3.728,87.85,754,89.5,Limburg,50.9654864,5.5001456,"['50.9130492', '51.020766', '5.3843163', '5.5951688']",-,Genk,-,01.01.0001,31.12.9999,Genk,3,Italian Restaurant,Sandwich Place,Brasserie,Bar,Cocktail Bar
24,Seraing,64259,373.0,35.34,1819,77.5,Luik,50.6152381,5.5089437000000006,"['50.5472961', '50.6286135', '5.4698932', '5.5660933']",Seraing,-,-,01.01.0001,31.12.9999,Seraing,4,Gym / Fitness Center,Accessories Store,Friterie,Bakery,Supermarket
25,Roeselare,62954,292.0,59.79,1053,102.1,West-Vlaanderen,50.9444948,3.124765,"['50.8870139', '50.9940257', '3.0619143', '3.1784858']",Roulers,Roeselare,Roeselare,01.01.0001,31.12.9999,Roeselare,3,Belgian Restaurant,Bar,Pub,Italian Restaurant,Cosmetics Shop
27,Sint-Lambrechts-Woluwe,56660,4.794,7.22,7842,94.9,Brussel,50.8430448,4.4256732,"['50.8337623', '50.8630337', '4.3999896', '4.461777']",Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,-,01.01.0001,31.12.9999,Sint-Lambrechts-Woluwe#Woluwe-Saint-Lambert,3,Italian Restaurant,French Restaurant,Supermarket,Fast Food Restaurant,Restaurant
28,Vorst,56289,4.251,6.25,9009,81.4,Brussel,50.8091426,4.3177512,"['50.7975919', '50.8308078', '4.3019949', '4.353607']",Forest,Vorst,-,01.01.0001,31.12.9999,Vorst#Forest,3,Supermarket,French Restaurant,Bar,Plaza,Park
29,Verviers,55207,160.0,33.07,1669,77.9,Luik,50.59324,5.867828,"['50.5492321', '50.6258273', '5.8130414', '5.9256531']",Verviers,-,-,01.01.0001,31.12.9999,Verviers,3,French Restaurant,Greek Restaurant,Pool,Food & Drink Shop,Sandwich Place
30,Jette,52536,2.652,5.04,10417,82.4,Brussel,50.8759585,4.3245702,"['50.864506', '50.8941515', '4.2937557', '4.3406693']",Jette,Jette,-,01.01.0001,31.12.9999,Jette,3,Supermarket,Italian Restaurant,Bar,Cosmetics Shop,Sandwich Place
32,Beveren,48668,197.0,150.18,324,113.7,Oost-Vlaanderen,51.21288495,4.24908132985944,"['51.1883084', '51.2373196', '4.1980342', '4.2844242']",-,Beveren,-,01.01.0001,31.12.9999,Bever#Biévèneen,0,Bar,Supermarket,Friterie,Sandwich Place,Restaurant
33,Etterbeek,48367,1.568,3.15,15358,81.2,Brussel,50.83614470000001,4.3861737000000005,"['50.8225269', '50.844661', '4.3792052', '4.4117701']",Etterbeek,Etterbeek,-,01.01.0001,31.12.9999,Etterbeek,3,Italian Restaurant,Sandwich Place,Bakery,Wine Bar,Plaza
34,Beringen,46346,588.0,78.3,592,94.4,Limburg,51.0502026,5.22080908230083,"['51.0309054', '51.0691676', '5.1993562', '5.2520007']",-,Beringen,-,01.01.0001,31.12.9999,Beringen,3,Supermarket,Bakery,Bus Stop,Soccer Field,Italian Restaurant
35,Dendermonde,45769,227.0,55.67,822,108.3,Oost-Vlaanderen,51.03122929999999,4.098112,"['50.9851181', '51.0724309', '3.9966602', '4.1940212']",Termonde,Dendermonde,Dendermonde,01.01.0001,31.12.9999,Dendermonde,0,Bar,Restaurant,Pub,Friterie,Cosmetics Shop
36,Vilvoorde,44727,651.0,21.48,2083,96.0,Vlaams-Brabant,50.92813655,4.43290525148385,"['50.8968325', '50.9592578', '4.3606787', '4.4870828']",Vilvorde,Vilvoorde,Vilvoorde,01.01.0001,31.12.9999,Vilvoorde,3,Cosmetics Shop,Pizza Place,Sandwich Place,Clothing Store,Gift Shop
37,Turnhout,44664,310.0,56.06,797,97.3,Antwerpen,51.3233812,4.948461,"['51.2624027', '51.3954588', '4.8887471', '4.984881']",-,Turnhout,-,01.01.0001,31.12.9999,Turnhout,3,Bar,Clothing Store,Italian Restaurant,Restaurant,Gym / Fitness Center
39,Dilbeek,42847,637.0,41.18,1041,119.8,Vlaams-Brabant,50.84415525,4.2656748672607305,"['50.8198943', '50.868461', '4.2275562', '4.2898414']",-,Dilbeek,-,01.01.0001,31.12.9999,Dilbeek,0,Bar,Athletics & Sports,Pharmacy,Friterie,Italian Restaurant
40,Heist-op-den-Berg,42681,352.0,86.46,494,108.0,Antwerpen,51.06251575,4.71943107216415,"['51.0288097', '51.0962777', '4.6768702', '4.806114']",-,Heist-op-den-Berg,-,01.01.0001,31.12.9999,Heist-op-den-Berg,3,Bar,Pub,Clothing Store,Friterie,Italian Restaurant
41,Sint-Pieters-Woluwe,41824,3.173,8.85,4725,112.2,Brussel,50.83702529999999,4.4274636,"['50.8184213', '50.8489441', '4.4042447', '4.476725']",Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,-,01.01.0001,31.12.9999,Sint-Pieters-Woluwe#Woluwe-Saint-Pierre,3,Italian Restaurant,Snack Place,Kebab Restaurant,Pizza Place,Turkish Restaurant
42,Evere,41763,3.033,5.02,8322,74.8,Brussel,50.87200960000001,4.4034182,"['50.8523647', '50.8859345', '4.3877216', '4.4266432']",Evere,Evere,-,01.01.0001,31.12.9999,Evere,3,Supermarket,Snack Place,Bar,Brasserie,Electronics Store
43,Lokeren,41690,194.0,67.5,618,102.7,Oost-Vlaanderen,51.1042159,3.9911114,"['51.0712889', '51.1646724', '3.896651', '4.0339723']",-,Lokeren,-,01.01.0001,31.12.9999,Lokeren,0,Bakery,Bar,Park,Friterie,Doner Restaurant
44,Sint-Truiden,40590,227.0,106.9,380,103.8,Limburg,50.82694775,5.2034249116034,"['50.776418', '50.8773247', '5.1497098', '5.2448766']",Saint-Trond,Sint-Truiden,Sint-Truiden,01.01.0001,31.12.9999,Sint-Truiden,0,Bar,Friterie,Brasserie,Pizza Place,Wine Bar
45,Geel,40353,394.0,109.85,367,108.9,Antwerpen,51.1610826,4.9903187,"['51.0892573', '51.242632', '4.8938153', '5.077703']",-,Geel,-,01.01.0001,31.12.9999,Geel,3,Friterie,Sandwich Place,Bar,Italian Restaurant,Bus Stop
46,Eigenbrakel,40008,521.0,52.12,768,116.8,Waals-Brabant,50.6828722,4.3692706,"['50.6259387', '50.7341002', '4.3004066', '4.4119959']",Braine-l'Alleud,Eigenbrakel,-,01.01.0001,31.12.9999,Braine-l'Alleud,3,Chinese Restaurant,Plaza,Supermarket,Friterie,French Restaurant
47,Herstal,39989,375.0,23.54,1699,80.2,Luik,50.66504120000001,5.629981,"['50.6546974', '50.702464', '5.5553099', '5.6570477']",Herstal,-,-,01.01.0001,31.12.9999,Herstal,4,Supermarket,Gym / Fitness Center,Cafeteria,Campground,Grocery Store
48,Halle,39540,385.0,44.4,890,107.0,Vlaams-Brabant,50.7360524,4.2374349,"['50.6894114', '50.7785526', '4.1720079', '4.3125783']",Hal,Halle,Halle,01.01.0001,31.12.9999,Halle,0,Bar,Sandwich Place,Restaurant,Coffee Shop,Italian Restaurant
49,Ninove,38911,203.0,72.57,536,106.0,Oost-Vlaanderen,50.8353611,4.0242373,"['50.770473', '50.8717818', '3.9180599', '4.0754609']",-,Ninove,-,01.01.0001,31.12.9999,Ninove,3,Bar,Friterie,Clothing Store,Supermarket,Chinese Restaurant
50,Maasmechelen,38516,778.0,76.28,505,85.1,Limburg,50.9635024,5.696445,"['50.9103715', '51.0122743', '5.5951688', '5.767673']",-,Maasmechelen,-,02.01.1971,31.12.9999,Maasmechelen,3,Bar,Supermarket,Bus Stop,Italian Restaurant,Snack Place
51,Waregem,38266,336.0,44.34,863,106.9,West-Vlaanderen,50.8868095,3.4323287,"['50.8450262', '50.9113908', '3.3204798', '3.476254']",-,Waregem,-,01.01.0001,31.12.9999,Waregem,3,Bar,Chinese Restaurant,Clothing Store,Greek Restaurant,Bus Stop
52,Brasschaat,37946,1.354,38.49,986,125.7,Antwerpen,51.2930933,4.489307,"['51.2686423', '51.3508798', '4.4402507', '4.5587253']",-,Brasschaat,-,01.01.0001,31.12.9999,Brasschaat,3,Bar,Bakery,Cosmetics Shop,Supermarket,Restaurant
53,Grimbergen,37542,549.0,38.61,972,118.9,Vlaams-Brabant,50.932458,4.3717863,"['50.9009406', '50.9906614', '4.3183434', '4.4263998']",-,Grimbergen,-,01.01.0001,31.12.9999,Grimbergen,3,Restaurant,Bus Stop,Farmers Market,Bookstore,Bistro
54,Mol,36825,705.0,114.26,322,105.7,Antwerpen,51.184042100000006,5.1155267,"['51.1534761', '51.3226069', '5.0354139', '5.2421927']",-,Mol,-,01.01.0001,31.12.9999,Mol,0,Bar,Brasserie,Bakery,Supermarket,Friterie
55,Lier,36242,229.0,49.7,729,109.3,Antwerpen,51.131069,4.5696515999999985,"['51.0726727', '51.1657808', '4.5058463', '4.6430566']",Lierre,Lier,Lier,01.01.0001,31.12.9999,Lier,3,Bar,Bakery,Sandwich Place,Pub,Clothing Store
56,Châtelet,35903,487.0,27.03,1328,74.7,Henegouwen,50.4046075,4.5243511,"['50.3680688', '50.4437718', '4.4836697', '4.562851']",Châtelet,-,-,01.01.0001,31.12.9999,Châtelet,3,Department Store,Restaurant,Pizza Place,Grocery Store,Zoo
57,Evergem,35447,198.0,75.04,472,111.5,Oost-Vlaanderen,51.11854595,3.70482093944223,"['51.087005', '51.1502786', '3.6473245', '3.7773899']",-,Evergem,-,01.01.0001,31.12.9999,Evergem,3,Friterie,Bar,Bakery,Bus Stop,Optical Shop
58,Tienen,34975,227.0,71.77,487,108.4,Vlaams-Brabant,50.80843175,4.94642921342942,"['50.7897443', '50.8268973', '4.9037967', '4.9823842']",Tirlemont,Tienen,Tienen,01.01.0001,31.12.9999,Tienen,3,Bar,Park,Supermarket,Italian Restaurant,Bakery
59,Ieper,34845,116.0,130.61,267,100.3,West-Vlaanderen,50.85169675,2.8914736832759,"['50.8283082', '50.8749313', '2.8583458', '2.952383']",Ypres,Ieper,Ieper,01.01.0001,31.12.9999,Ieper,3,Bakery,Pub,Bar,Gastropub,Coffee Shop
60,Schoten,34517,1.88,29.55,1168,118.0,Antwerpen,51.2516344,4.4980446,"['51.2355561', '51.3041579', '4.4548997', '4.5529752']",-,Schoten,-,01.01.0001,31.12.9999,Schoten,4,Supermarket,Sandwich Place,Bakery,Pizza Place,Bar
61,Waver,34396,422.0,41.8,823,114.6,Waals-Brabant,50.7162425,4.60845,"['50.6826986', '50.7637583', '4.5297035', '4.6467709']",Wavre,Waver,-,01.01.0001,31.12.9999,Wavre,3,Gym,Bakery,Snack Place,Buffet,Supermarket
62,Zaventem,34368,875.0,27.62,1244,103.4,Vlaams-Brabant,50.88062070000001,4.4730008,"['50.834319', '50.9024643', '4.4209813', '4.5363889']",-,Zaventem,-,01.01.0001,31.12.9999,Zaventem,3,Italian Restaurant,Bar,Fast Food Restaurant,Sandwich Place,Thai Restaurant
63,Sint-Pieters-Leeuw,34228,531.0,40.38,848,101.1,Vlaams-Brabant,50.78118355,4.24521861730643,"['50.7495439', '50.8129698', '4.2087627', '4.3010925']",-,Sint-Pieters-Leeuw,-,01.01.0001,31.12.9999,Sint-Pieters-Leeuw,0,Bus Stop,Friterie,Supermarket,Athletics & Sports,Bar
64,Lommel,34079,1.371,102.37,333,99.0,Limburg,51.2305657,5.3076895,"['51.15755', '51.2757644', '5.214653', '5.4174115']",-,Lommel,-,01.01.0001,31.12.9999,Lommel,3,Bar,Supermarket,Furniture / Home Store,Coffee Shop,Sporting Goods Shop
65,Oudergem,34013,726.0,9.03,3765,103.5,Brussel,50.8172355,4.4268982,"['50.7897371', '50.826891', '4.3959299', '4.482277']",Auderghem,Oudergem,-,01.01.0001,31.12.9999,Oudergem#Auderghem,3,French Restaurant,Italian Restaurant,Belgian Restaurant,Park,Thai Restaurant
66,Heusden-Zolder,33708,1.029,53.23,633,95.6,Limburg,51.0233485,5.2750485000000005,"['50.9751713', '51.0725373', '5.2239722', '5.35685']",-,Heusden-Zolder,-,01.01.1977,31.12.9999,Heusden-Zolder,3,Bakery,Ice Cream Shop,Clothing Store,Supermarket,Friterie
67,Binche,33473,285.0,60.66,552,88.2,Henegouwen,50.4103004,4.165163,"['50.34925', '50.4469127', '4.0559717', '4.2524959']",Binche,-,-,01.01.2019,31.12.9999,Binche,0,Bar,Italian Restaurant,Plaza,Friterie,Bookstore
68,Geraardsbergen,33439,145.0,79.71,419,105.1,Oost-Vlaanderen,50.7715779,3.8827287,"['50.7275691', '50.836933', '3.8036763', '4.003831']",Grammont,Geraardsbergen,Geraardsbergen,01.01.0001,31.12.9999,Geraardsbergen,3,Restaurant,Bar,Sandwich Place,Clothing Store,Friterie
69,Menen,33385,268.0,33.07,1009,92.8,West-Vlaanderen,50.7969879,3.1156565,"['50.7552822', '50.8321795', '3.0805825', '3.2209985']",Menin,Menen,Menen,01.01.0001,31.12.9999,Menen,0,Bar,Bistro,Chinese Restaurant,Sandwich Place,Perfume Shop
70,Asse,33158,389.0,49.64,668,109.8,Vlaams-Brabant,50.913594,4.18043750728449,"['50.884526', '50.9426473', '4.1389758', '4.2425321']",-,Asse,-,01.01.0001,31.12.9999,Asse,3,Bakery,Bar,Friterie,Italian Restaurant,Snack Place
71,Knokke-Heist,33126,813.0,56.44,587,137.7,West-Vlaanderen,51.3433866,3.2884738,"['51.2961291', '51.3722842', '3.218315', '3.3853401']",-,Knokke-Heist,-,01.01.0001,31.12.9999,Knokke-Heist,3,Beach,Ice Cream Shop,Pedestrian Plaza,Cocktail Bar,Surf Spot
73,Bilzen,32328,346.0,75.9,426,100.4,Limburg,50.8707787,5.5181089000000005,"['50.8163528', '50.9226424', '5.4405602', '5.6250127']",-,Bilzen,-,01.01.0001,31.12.9999,Bilzen,0,Bar,Brasserie,Sandwich Place,Friterie,Auto Garage
74,Ottignies-Louvain-la-Neuve,31443,939.0,32.96,954,105.9,Waals-Brabant,50.6654216,4.5674107,"['50.6491927', '50.6964651', '4.4918779', '4.6483381']",Ottignies-Louvain-la-Neuve,-,-,02.01.1977,31.12.9999,Ottignies-Louvain-la-Neuve,3,Tennis Court,Sandwich Place,Supermarket,Soccer Field,Gym / Fitness Center
75,Wevelgem,31406,274.0,38.76,810,102.4,West-Vlaanderen,50.8121065,3.18644500626665,"['50.7939202', '50.8302164', '3.1434593', '3.2211547']",-,Wevelgem,-,01.01.0001,31.12.9999,Wevelgem,1,Pharmacy,Athletics & Sports,Bus Stop,Stables,Restaurant
76,Oudenaarde,31393,148.0,68.06,461,110.8,Oost-Vlaanderen,50.847530600000006,3.6073048968342,"['50.8364012', '50.8585574', '3.5981619', '3.6254132']",Audenarde,Oudenaarde,Oudenaarde,01.01.0001,31.12.9999,Oudenaarde,0,Bar,Cosmetics Shop,Soccer Field,Athletics & Sports,Supermarket
77,Courcelles,31299,299.0,44.24,708,83.1,Henegouwen,50.4574699,4.3760080000000015,"['50.4275986', '50.5239428', '4.2864606', '4.404908']",Courcelles,-,-,01.01.0001,31.12.9999,Courcelles,3,Restaurant,Italian Restaurant,Pizza Place,Supermarket,Food & Drink Shop
78,Tongeren,30996,232.0,87.56,354,103.5,Limburg,50.780626700000006,5.4639172,"['50.7201495', '50.8223647', '5.3889662', '5.552954']",Tongres,Tongeren,Tongeren,01.01.0001,31.12.9999,Tongeren,3,Bar,Friterie,Supermarket,Italian Restaurant,Restaurant
79,Houthalen-Helchteren,30655,1.379,78.27,392,90.5,Limburg,51.0281818,5.3713044000000005,"['51.000655', '51.1040223', '5.3356206', '5.5221773']",-,Houthalen-Helchteren,-,01.01.1977,31.12.9999,Houthalen-Helchteren,3,Bus Stop,Friterie,Italian Restaurant,Athletics & Sports,Supermarket
80,Waterloo,30328,947.0,21.03,1442,123.5,Waals-Brabant,50.7153727,4.396367,"['50.6706279', '50.7359165', '4.3549831', '4.4413224']",Waterloo,-,-,01.01.0001,31.12.9999,Waterloo,3,French Restaurant,Electronics Store,Bar,Gym,Belgian Restaurant
81,Aarschot,30115,338.0,62.52,482,113.8,Vlaams-Brabant,50.98550925,4.83374800692363,"['50.9581047', '51.0131002', '4.8003955', '4.8706121']",-,Aarschot,-,01.01.0001,31.12.9999,Aarschot,3,Bar,Restaurant,Italian Restaurant,Friterie,Pub
82,Temse,29926,273.0,39.91,750,106.3,Oost-Vlaanderen,51.1421436,4.21335052785252,"['51.1087906', '51.1756294', '4.1772181', '4.2504759']",Tamise,Temse,Temse,01.01.0001,31.12.9999,Temse,3,Bakery,Supermarket,Pizza Place,Belgian Restaurant,Bistro
83,Aarlen,29858,272.0,118.64,252,116.3,Luxemburg,49.68346010000001,5.8167711,"['49.621915', '49.727234', '5.6790251', '5.9106426']",Arlon,Aarlen,-,01.01.0001,31.12.9999,Arlon,0,Bar,Italian Restaurant,Supermarket,Burger Joint,Pizza Place
84,Aat,29311,114.0,126.95,231,100.9,Henegouwen,50.6311349,3.7769485,"['50.5624603', '50.6974464', '3.6547134', '3.9133999']",Ath,Aat,-,01.01.0001,31.12.9999,Ath,4,Supermarket,Italian Restaurant,Bar,Clothing Store,Electronics Store
85,Brecht,29268,795.0,90.84,322,114.1,Antwerpen,51.3495582,4.6393435,"['51.2756306', '51.3823487', '4.5407768', '4.7235855']",-,Brecht,-,01.01.0001,31.12.9999,Brecht,4,Supermarket,Bar,Bakery,Gastropub,Restaurant
87,Nijvel,28734,277.0,60.6,474,113.5,Waals-Brabant,50.5976885,4.323585400000002,"['50.5432244', '50.6352372', '4.2458068', '4.4066525']",Nivelles,Nijvel,-,01.01.0001,31.12.9999,Nivelles,3,French Restaurant,Bar,Italian Restaurant,Bakery,Supermarket
88,Ans,28373,412.0,23.35,1215,90.4,Luik,50.6679862,5.5077543,"['50.6491629', '50.7229088', '5.4610085', '5.5524556']",Ans,-,-,01.01.0001,31.12.9999,Ans,3,Chinese Restaurant,Thai Restaurant,Basketball Court,Italian Restaurant,Pizza Place
89,Sambreville,28288,375.0,34.2,827,87.0,Namen,50.4460443,4.6178902917413,"['50.4001053', '50.4924462', '4.572686', '4.6713061']",Sambreville,-,-,04.07.1978,31.12.9999,Sambreville,4,Greek Restaurant,Supermarket,Basketball Court,Chinese Restaurant,Garden Center
90,Herentals,28177,473.0,48.56,580,109.2,Antwerpen,51.1855514,4.83464460984999,"['51.1551018', '51.2159099', '4.7756373', '4.8826216']",-,Herentals,-,01.01.0001,31.12.9999,Herentals,3,Bakery,Bar,Bus Stop,Platform,Coffee Shop
91,Harelbeke,28158,340.0,29.14,966,102.7,West-Vlaanderen,50.84497015,3.3092193206157594,"['50.8177453', '50.8713318', '3.284705', '3.3491125']",-,Harelbeke,-,01.01.0001,31.12.9999,Harelbeke,0,Bar,Bakery,Kebab Restaurant,Brasserie,Belgian Restaurant
92,Izegem,28018,236.0,25.48,1099,102.7,West-Vlaanderen,50.91382225,3.2090654210557004,"['50.8906834', '50.9368765', '3.1724721', '3.2437923']",-,Izegem,-,01.01.0001,31.12.9999,Izegem,3,Bakery,Pub,Park,Auto Garage,Gastropub
93,Zinnik,28016,161.0,110.3,254,95.6,Henegouwen,50.5775309,4.0732968000000005,"['50.5003614', '50.6336145', '3.9521708', '4.1305534']",Soignies,Zinnik,-,01.01.0001,31.12.9999,Soignies,4,Supermarket,Bar,Fast Food Restaurant,Chinese Restaurant,Italian Restaurant
94,Sint-Joost-ten-Node,27457,185.0,1.14,24037,49.6,Brussel,50.8508197,4.3691634000000015,"['50.8465511', '50.8600825', '4.3557754', '4.3831829']",Saint-Josse-ten-Noode,Sint-Joost-ten-Node,-,01.01.0001,31.12.9999,Sint-Joost-ten-Node#Saint-Josse-ten-Noode,3,Italian Restaurant,Turkish Restaurant,Concert Hall,Sandwich Place,Pizza Place
95,Andenne,27391,222.0,86.17,318,90.8,Namen,50.4893981,5.0965468000000005,"['50.4473749', '50.5315545', '4.9618491', '5.16409']",Andenne,-,-,01.01.0001,31.12.9999,Andenne,4,Supermarket,Bar,Bakery,Athletics & Sports,Friterie
96,Kapellen,26850,1.072,37.11,723,126.7,Antwerpen,51.332759,4.431231830555781,"['51.3004388', '51.3644205', '4.3917068', '4.5190021']",-,Kapellen,-,01.01.0001,31.12.9999,Kapellen,0,Bar,Friterie,Intersection,Sports Club,Skating Rink
97,Zottegem,26582,175.0,56.66,469,118.5,Oost-Vlaanderen,50.86909165,3.81554601767985,"['50.8620344', '50.8761087', '3.8065172', '3.8373934']",-,Zottegem,-,01.01.0001,31.12.9999,Zottegem,0,Bar,Cosmetics Shop,Thai Restaurant,Lingerie Store,Pizza Place
98,Ronse,26479,217.0,34.48,768,85.0,Oost-Vlaanderen,50.7476192,3.6020465,"['50.7210133', '50.7841934', '3.5378754', '3.6775202']",Renaix,Ronse,-,01.01.0001,31.12.9999,Ronse#Renaix,0,Bar,Belgian Restaurant,Italian Restaurant,Tea Room,Pub
99,Willebroek,26462,422.0,27.41,966,101.2,Antwerpen,51.0626964,4.35723246440333,"['51.0409491', '51.0844703', '4.3300794', '4.3917904']",-,Willebroek,-,01.01.0001,31.12.9999,Willebroek,0,Bar,Pizza Place,Bakery,Bistro,Tea Room
